area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
65.0,3000.0,,,,,,2.0,1.0,False,False,2023-10-06,2023-10-21,sale,ldp,38001340,3561,0,False,True,324,SG,65,8866,1001,227
72.0,,,8.0,,,,,,False,False,2023-10-18,2023-10-25,sale,ldp,38345931,0,1,False,False,283,SG,65,12010,4357,227
61.0,3000.0,,,,,,2.0,1.0,False,False,2023-10-23,2023-10-30,sale,ldp,38216565,3561,0,False,False,324,SG,65,8866,1001,227
56.0,2290.0,,,,,,2.0,1.0,False,False,2023-10-18,2023-10-25,sale,ldp,37187371,3561,1,False,False,324,SG,65,8866,1001,227
90.0,4000.0,,,,,,3.0,2.0,False,False,2023-10-16,2023-10-23,sale,ldp,38332253,5623,0,False,False,324,SG,65,8866,6000,227
80.0,3500.0,,,,,,2.0,2.0,False,False,2023-10-13,2023-10-20,sale,ldp,38313596,3561,0,False,True,324,SG,65,8866,1001,227
61.0,3000.0,,,,,,2.0,1.0,False,False,2023-10-16,2023-10-23,sale,ldp,37617088,3561,0,False,False,324,SG,65,8866,1001,227
85.0,3400.0,,,,,,3.0,2.0,False,False,2023-10-10,2023-10-20,sale,ldp,38288549,5623,0,False,True,324,SG,65,8866,6000,227
85.0,,,8.0,,,,,,False,False,2023-10-17,2023-10-24,sale,ldp,38336996,0,1,False,False,283,SG,65,8875,5977,227
75.0,2800.0,,,,,,2.0,2.0,False,False,2023-10-17,2023-10-24,sale,ldp,38341693,3561,1,False,False,324,SG,65,8866,1001,227
70.0,,,,,,,2.0,2.0,False,False,2023-10-16,2023-10-26,sale,ldp,38332015,5623,1,False,False,324,SG,65,8866,6000,227
56.0,2350.0,,,,,,2.0,1.0,False,False,2023-10-16,2023-10-23,sale,ldp,38333493,3561,1,False,False,324,SG,65,8866,1001,227
60.0,,,,,,,2.0,1.0,False,False,2023-10-10,2023-10-20,sale,ldp,36375140,3561,1,False,True,324,SG,65,8866,1001,227
36.0,1908.0,,,,,,2.0,1.0,False,False,2023-10-09,2023-10-24,sale,ldp,38219545,5623,1,False,False,324,SG,65,8866,6000,227
719.0,41700.0,15.0,8.0,,west,,,,False,False,2023-10-17,2023-10-27,sale,ldp,38343706,0,1,False,False,283,SG,65,8869,4367,227
56.0,2400.0,,,,south,north,2.0,1.0,False,False,2023-10-15,2023-10-22,sale,ldp,35024621,3561,1,False,True,324,SG,65,8866,1001,227
56.0,5290.0,,12.0,,,,2.0,2.0,False,False,2023-10-13,2023-10-23,sale,ldp,38077678,0,1,False,False,41,SG,65,8871,4256,227
61.0,,,,,,,2.0,1.0,False,False,2023-10-23,2023-10-30,sale,ldp,37517682,3561,3,False,False,324,SG,65,8866,1001,227
75.0,2750.0,,,,east,south,2.0,2.0,False,False,2023-10-10,2023-10-20,sale,ldp,37892496,3561,1,False,True,324,SG,65,8866,1001,227
35.0,2100.0,,,,,,1.0,1.0,False,False,2023-10-09,2023-10-24,sale,ldp,38273496,5623,1,False,False,324,SG,65,8866,6000,227
85.0,,,8.0,,,,,,False,False,2023-10-12,2023-10-19,sale,ldp,38304066,0,1,False,True,283,SG,65,8875,4354,227
650.0,45000.0,,,,,,,,False,False,2023-10-09,2023-10-19,sale,ldp,36930445,0,1,False,True,283,SG,65,8871,9302,227
82.0,,,,,,,3.0,2.0,False,False,2023-10-13,2023-10-20,sale,ldp,38315559,5623,1,False,True,324,SG,65,8866,6000,227
52.0,4800.0,,8.0,,,,4.0,5.0,False,False,2023-10-21,2023-11-05,sale,ldp,36722921,0,1,False,False,41,SG,65,8870,0,227
50.0,3000.0,,,,,,1.0,1.0,False,False,2023-10-11,2023-10-21,sale,ldp,38292893,5623,1,False,True,324,SG,65,8866,6000,227
270.0,45000.0,,,,,,,,False,False,2023-10-21,2023-11-05,sale,ldp,37402559,0,1,False,False,283,SG,65,8866,1001,227
64.0,7450.0,,6.0,,,,5.0,5.0,False,False,2023-10-18,2023-10-25,sale,ldp,33863733,0,3,False,False,41,SG,65,8872,9302,227
67.5,,,7.0,,,,5.0,6.0,False,False,2023-10-18,2023-10-28,sale,ldp,38351386,0,3,False,False,41,SG,65,8872,897,227
65.0,,,,,east,east,2.0,2.0,False,False,2023-10-18,2023-10-25,sale,ldp,38351076,5623,3,False,False,324,SG,65,8866,6000,227
80.0,,4.0,,,,,4.0,5.0,False,False,2023-10-18,2023-10-28,sale,ldp,37703074,0,3,False,False,163,SG,65,12010,0,227
56.0,2300.0,,,,,,2.0,1.0,False,False,2023-10-18,2023-10-25,sale,ldp,38231646,3561,3,False,False,324,SG,65,8866,1001,227
63.0,3600.0,,,,,,,,False,False,2023-10-18,2023-10-25,sale,ldp,38287748,0,3,False,False,283,SG,65,8870,5626,227
