area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
44.0,,5.5,6.0,,,,3.0,3.0,False,False,2023-10-15,2023-10-22,sale,ldp,38325222,0,3,False,True,41,SG,66,8900,2289,227
300.0,65000.0,,,,,,36.0,,False,False,2023-10-16,2023-10-23,sale,ldp,38330289,0,3,False,False,41,SG,66,8890,2659,227
72.0,3290.0,6.75,,,,,4.0,4.0,False,False,2023-10-15,2023-10-22,sale,ldp,38228174,0,3,False,True,41,SG,66,8884,505,227
147.0,87000.0,,,,,,,,False,False,2023-10-15,2023-10-22,sale,ldp,36690274,84,3,False,True,325,SG,66,8898,2656,227
48.0,8800.0,4.0,5.0,,,,9.0,9.0,False,False,2023-10-13,2023-10-28,sale,ldp,38309824,0,3,False,False,41,SG,66,8900,14504,227
149.0,8100.0,,,,,,3.0,2.0,False,False,2023-10-16,2023-10-23,sale,ldp,38330213,97,3,False,False,324,SG,66,8898,256,227
90.0,19000.0,7.0,,,,,5.0,6.0,False,False,2023-10-15,2023-10-22,sale,ldp,38325085,0,3,False,True,41,SG,66,8901,146,227
60.0,8250.0,,6.0,,,,4.0,,False,False,2023-10-16,2023-10-23,sale,ldp,38213584,0,3,False,False,41,SG,66,8890,4574,227
54.0,3600.0,,,,,,1.0,1.0,False,False,2023-10-16,2023-10-23,sale,ldp,38259626,1883,3,False,False,324,SG,66,8898,256,227
186.0,78000.0,,,,,,10.0,12.0,False,False,2023-10-16,2023-10-23,sale,ldp,38330293,0,3,False,False,163,SG,66,8900,14504,227
63.5,8450.0,,,,,,6.0,7.0,False,False,2023-10-13,2023-10-23,sale,ldp,36597636,0,3,False,False,41,SG,66,8889,382,227
400.0,40000.0,,,,,,6.0,5.0,False,False,2023-10-14,2023-10-21,sale,ldp,38322842,0,3,False,True,163,SG,66,8889,1530,227
51.0,,4.5,6.0,,,,4.0,5.0,False,False,2023-10-14,2023-10-21,sale,ldp,38321346,0,3,False,True,41,SG,66,8885,1530,227
48.8,8300.0,4.5,4.0,,,,8.0,8.0,False,False,2023-10-13,2023-10-20,sale,ldp,37871095,0,3,False,True,41,SG,66,8892,1530,227
366.3,45000.0,,,,,,,,False,False,2023-10-13,2023-10-20,sale,ldp,37956476,0,3,False,True,163,SG,66,8892,1530,227
80.0,5900.0,,,,south,north,2.0,2.0,False,False,2023-10-22,2023-11-06,sale,ldp,37834299,1883,3,False,False,324,SG,66,8898,256,227
45.0,2150.0,,,,,west,2.0,1.0,False,False,2023-10-14,2023-10-21,sale,ldp,38318869,0,3,False,True,324,SG,66,8902,4595,227
65.0,9450.0,,,,,,5.0,5.0,False,False,2023-10-13,2023-10-20,sale,ldp,38314732,0,3,False,True,41,SG,66,8884,4528,227
100.0,7800.0,,,,,,3.0,2.0,False,False,2023-10-21,2023-11-05,sale,ldp,36990506,1883,3,False,False,324,SG,66,8898,256,227
120.0,8000.0,,,,,,3.0,2.0,False,False,2023-10-20,2023-10-27,sale,ldp,28996754,1883,1,False,False,324,SG,66,8898,256,227
27.0,2800.0,,2.0,,,,2.0,2.0,False,False,2023-10-13,2023-10-20,sale,ldp,38313436,0,3,False,True,41,SG,66,8884,505,227
85.0,4850.0,,,,,,2.0,2.0,False,False,2023-10-12,2023-10-19,sale,ldp,28947032,1883,3,False,True,324,SG,66,8898,256,227
60.2,16000.0,4.15,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,38340907,0,3,False,False,163,SG,66,8894,2070,227
65.0,8500.0,,,,,,6.0,6.0,False,False,2023-10-17,2023-10-24,sale,ldp,38339687,0,3,False,False,41,SG,66,8884,505,227
62.0,2400.0,,,,,,,,False,False,2023-10-17,2023-11-01,sale,ldp,38338880,0,3,False,False,324,SG,66,8900,14504,227
46.0,7900.0,4.7,4.0,,,,6.0,7.0,False,False,2023-10-17,2023-10-24,sale,ldp,38340357,0,3,False,False,41,SG,66,8900,2289,227
132.0,26000.0,6.0,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,38338990,0,3,False,False,163,SG,66,8892,382,227
106.0,9100.0,,,,,,2.0,2.0,False,False,2023-10-13,2023-10-28,sale,ldp,35628445,2725,3,False,False,324,SG,66,8898,2656,227
521.0,160000.0,,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,37546470,0,3,False,False,163,SG,66,8900,2289,227
938.0,54000.0,,,,,,5.0,6.0,False,False,2023-10-16,2023-10-23,sale,ldp,36672093,0,3,False,False,41,SG,66,8902,4599,227
86.0,4500.0,,,,,,2.0,2.0,False,False,2023-10-10,2023-10-25,sale,ldp,37403687,1883,3,False,False,324,SG,66,8898,256,227
83.0,5100.0,,,,,,2.0,2.0,False,False,2023-10-22,2023-11-06,sale,ldp,36345893,1883,3,False,False,324,SG,66,8898,256,227
88.0,6900.0,,,,,,2.0,2.0,False,False,2023-10-16,2023-10-23,sale,ldp,38207441,1883,3,False,False,324,SG,66,8898,256,227
48.0,5700.0,,,,,,2.0,,False,False,2023-10-16,2023-10-23,sale,ldp,38333778,0,3,False,False,41,SG,66,8891,2100,227
322.0,46000.0,,,,,,1.0,1.0,False,False,2023-10-16,2023-10-26,sale,ldp,38069541,0,3,True,False,163,SG,66,8901,2070,227
189.0,53000.0,,,,,,,,False,False,2023-10-16,2023-10-23,sale,ldp,37931497,0,3,False,False,163,SG,66,8887,741,227
47.6,11900.0,,,,,,7.0,9.0,False,False,2023-10-16,2023-10-23,sale,ldp,38017998,0,3,False,False,163,SG,66,8885,725,227
120.0,8100.0,,,,,,3.0,2.0,False,False,2023-10-22,2023-11-06,sale,ldp,36345826,1883,3,False,False,324,SG,66,8898,256,227
80.0,18000.0,5.0,8.0,,,,15.0,15.0,False,False,2023-10-18,2023-10-25,sale,ldp,37664660,0,3,False,False,41,SG,66,8887,792,227
36.5,6600.0,,,,,,4.0,3.0,False,False,2023-10-18,2023-10-25,sale,ldp,38352569,0,3,True,False,41,SG,66,8887,2659,227
42.0,6300.0,6.0,4.0,,east,east,4.0,4.0,False,False,2023-10-18,2023-10-25,sale,ldp,38169118,0,3,False,False,41,SG,66,8899,907,227
40.0,8300.0,4.6,6.0,,,,3.0,4.0,False,False,2023-10-18,2023-10-25,sale,ldp,38260405,0,3,False,False,41,SG,66,8886,2659,227
61.0,13500.0,3.5,12.0,,,,5.0,4.0,False,False,2023-10-11,2023-10-26,sale,ldp,38163820,0,3,False,False,41,SG,66,8898,2656,227
261.0,55000.0,,,,,,,,False,False,2023-10-16,2023-10-31,sale,ldp,38334941,0,3,False,False,41,SG,66,8898,2656,227
89.0,4600.0,,,,,,2.0,2.0,False,False,2023-10-18,2023-10-25,sale,ldp,35653486,84,3,False,False,324,SG,66,8898,2656,227
160.0,27800.0,,,,,,5.0,5.0,False,False,2023-10-16,2023-10-23,sale,ldp,38331049,0,3,False,False,325,SG,66,8886,1600,227
53.0,4100.0,,,,,,1.0,1.0,False,False,2023-10-13,2023-10-20,sale,ldp,38249534,1883,3,False,True,324,SG,66,8898,256,227
222.2,52000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38348019,0,3,False,False,163,SG,66,8900,2289,227
135.0,6980.0,,,,,,3.0,2.0,False,False,2023-10-18,2023-10-25,sale,ldp,37874358,84,3,False,False,324,SG,66,8898,2656,227
126.2,7900.0,,,,,,3.0,2.0,False,False,2023-10-10,2023-10-25,sale,ldp,37757000,1883,3,False,False,324,SG,66,8898,256,227
82.0,4700.0,,,,,,2.0,2.0,False,False,2023-10-23,2023-11-07,sale,ldp,36990431,1883,3,False,False,324,SG,66,8898,256,227
90.0,5000.0,,,,,,2.0,2.0,False,False,2023-10-17,2023-11-01,sale,ldp,34267435,84,3,False,False,324,SG,66,8898,2656,227
560.0,55000.0,,,,,,6.0,5.0,False,False,2023-10-16,2023-10-26,sale,ldp,38224362,84,3,False,False,324,SG,66,8898,2656,227
50.0,3100.0,,,,,,1.0,1.0,False,False,2023-10-14,2023-10-29,sale,ldp,37992216,1883,3,False,False,324,SG,66,8898,256,227
135.0,7200.0,,,,,,3.0,2.0,False,False,2023-10-17,2023-10-24,sale,ldp,36921102,84,3,False,False,324,SG,66,8898,2656,227
90.0,5000.0,,,,,,2.0,2.0,False,False,2023-10-18,2023-11-02,sale,ldp,36294303,84,3,False,False,324,SG,66,8898,2656,227
75.0,5100.0,,,,,,2.0,2.0,False,False,2023-10-17,2023-10-24,sale,ldp,38277389,1883,3,False,False,324,SG,66,8898,256,227
67.5,16000.0,4.5,,,,,,,False,False,2023-10-13,2023-10-23,sale,ldp,38158608,0,3,False,False,163,SG,66,8895,4618,227
85.0,5300.0,,,,,,2.0,2.0,False,False,2023-10-17,2023-11-01,sale,ldp,35441340,1883,3,False,False,324,SG,66,8898,256,227
61.2,6800.0,,,,,,3.0,3.0,False,False,2023-10-13,2023-10-28,sale,ldp,34695721,0,3,False,False,41,SG,66,8901,3811,227
37.0,4500.0,,5.0,,,,3.0,3.0,False,False,2023-10-13,2023-10-23,sale,ldp,37911754,0,3,False,False,41,SG,66,8890,4574,227
100.0,13200.0,5.0,12.0,,,,5.0,5.0,False,False,2023-10-18,2023-10-25,sale,ldp,38281201,0,3,False,False,41,SG,66,8891,2100,227
86.5,6100.0,,,,,,2.0,2.0,False,False,2023-10-20,2023-10-30,sale,ldp,38303895,5144,5,False,False,324,SG,66,8898,2656,227
45.0,9600.0,,,,,,,,False,False,2023-10-12,2023-10-22,sale,ldp,38308811,0,3,False,True,163,SG,66,8899,12825,227
57.3,,5.0,20.0,,west,west,5.0,6.0,False,False,2023-10-12,2023-10-22,sale,ldp,38309242,0,3,False,True,163,SG,66,8884,1131,227
68.0,11800.0,,8.0,,,,3.0,,False,False,2023-10-12,2023-10-19,sale,ldp,38307908,0,3,False,True,41,SG,66,8900,12825,227
133.0,12500.0,,,,,,3.0,,False,False,2023-10-12,2023-10-19,sale,ldp,38302319,2725,3,False,True,324,SG,66,8898,2656,227
360.0,150000.0,,,,,,13.0,10.0,False,False,2023-10-23,2023-11-07,sale,ldp,38301476,0,5,False,False,163,SG,66,8900,256,227
62.8,,,,,,,3.0,4.0,False,False,2023-10-12,2023-10-19,sale,ldp,38303598,0,3,False,True,41,SG,66,8881,5854,227
63.6,2650.0,4.5,4.5,,,,3.0,2.0,False,False,2023-10-12,2023-10-19,sale,ldp,38144885,0,3,True,True,283,SG,66,8885,792,227
80.0,5300.0,,,,,,2.0,2.0,False,False,2023-10-12,2023-10-19,sale,ldp,38107926,1883,3,False,True,324,SG,66,8898,256,227
210.0,18000.0,10.0,,,,,,,False,False,2023-10-12,2023-10-19,sale,ldp,38013161,0,3,False,True,283,SG,66,8891,4463,227
73.2,5700.0,4.0,3.0,,west,,,,False,False,2023-10-12,2023-10-19,sale,ldp,36983140,0,3,False,True,283,SG,66,8899,4569,227
40.0,2050.0,,,,,,,,False,False,2023-10-11,2023-10-26,sale,ldp,37183004,118,3,False,False,324,SG,66,8883,1199,227
76.0,5150.0,,,,,,2.0,2.0,False,False,2023-10-21,2023-10-31,sale,ldp,23829022,1883,3,False,False,324,SG,66,8898,256,227
73.32,36660.0,,,,east,,,,False,False,2023-10-09,2023-10-19,sale,ldp,36581005,0,3,False,True,163,SG,66,8901,2703,227
