area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
273.9,3012.8999999999996,,,,,,,,False,False,2023-10-13,2023-10-23,sale,ldp,33237647,0,5,False,False,283,SG,73,145,7873,227
4713.0,,38.8,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,33093112,0,5,False,False,283,SG,73,144,3551,227
2073.0,35000.0,28.4,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,33734776,0,5,False,False,283,SG,73,149,5610,227
260.0,6800.0,8.25,,,,,4.0,3.0,False,False,2023-10-17,2023-10-27,sale,ldp,35655015,3191,5,False,False,325,SG,73,149,3551,227
277.6,4441.6,,,,,,,,False,False,2023-10-15,2023-10-25,sale,ldp,33602828,0,5,False,False,283,SG,73,145,7873,227
150.0,1870.0,5.0,16.0,,,,,,False,False,2023-10-13,2023-10-23,sale,ldp,37913605,0,5,False,False,283,SG,73,144,5607,227
1051.3,15500.0,,30.0,,,,,,False,False,2023-10-12,2023-10-22,sale,ldp,38080454,0,5,False,False,283,SG,73,149,0,227
1000.0,1900.0,27.0,7.0,,,,,,False,False,2023-10-13,2023-10-23,sale,ldp,32451647,0,5,False,False,283,SG,73,146,11695,227
2997.0,74925.0,28.0,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,37788926,0,5,False,False,283,SG,73,144,5607,227
150.0,,,20.0,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,38062077,0,5,False,False,283,SG,73,144,6215,227
1372.0,27440.0,50.0,5.0,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,34577886,0,5,False,False,283,SG,73,144,5599,227
273.9,,20.0,16.0,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,36832837,0,5,False,False,283,SG,73,145,7873,227
1003.0,3000.0,17.0,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,38080044,0,5,False,False,283,SG,73,145,5611,227
200.0,2300.0,,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,38033909,0,5,False,False,283,SG,73,144,5607,227
110.0,3000.0,,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,36565731,3191,5,False,False,40,SG,73,149,3551,227
550.0,4950.0,,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,37717168,3191,5,False,False,40,SG,73,149,3551,227
3850.0,21175.0,34.0,12.0,,,,,,False,False,2023-10-17,2023-11-16,sale,ldp,36848748,0,5,False,False,283,SG,73,147,6539,227
134.7,1750.0,,,,,,,,False,False,2023-10-12,2023-10-22,sale,ldp,36624655,0,5,False,False,283,SG,73,144,3551,227
5200.0,24960.0,42.0,12.0,,,,,,False,False,2023-10-17,2023-11-16,sale,ldp,25730382,0,5,False,False,283,SG,73,147,6539,227
10000.0,22000.0,,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,38145491,0,5,False,False,283,SG,73,148,8635,227
1042.0,7000.0,20.0,60.0,,,,,,False,False,2023-10-17,2023-11-16,sale,ldp,38336547,0,5,False,False,283,SG,73,145,5611,227
2288.0,7321.6,26.0,10.0,,north,,,,False,False,2023-10-17,2023-10-27,sale,ldp,37567221,0,5,False,False,283,SG,73,147,0,227
564.0,11280.0,14.0,8.0,,west,,,,False,False,2023-10-15,2023-10-25,sale,ldp,38326546,0,5,False,False,283,SG,73,145,11018,227
99.0,1900.0,5.0,6.0,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,38336968,0,5,False,False,283,SG,73,149,3551,227
544.0,10000.0,16.0,,,,,,,False,False,2023-10-17,2023-11-16,sale,ldp,37534503,0,5,False,False,283,SG,73,145,7851,227
124.0,,,,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,38333755,0,5,False,False,283,SG,73,145,5611,227
17000.0,185000.0,116.0,8.0,,,,,,False,False,2023-10-17,2023-11-16,sale,ldp,38068216,0,5,False,False,283,SG,73,149,5609,227
702.0,11232.0,,,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,38334583,5789,5,False,False,40,SG,73,149,6403,227
30.0,890.0,3.6,5.0,,,,2.0,1.0,False,False,2023-09-21,2023-10-21,sale,ldp,38152701,0,5,False,False,41,SG,73,146,13219,227
260.1,7200.0,,,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,36487673,3191,5,False,False,163,SG,73,149,11207,227
2410.0,,,,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,38329345,0,5,False,False,283,SG,73,148,8635,227
2528.2,53000.0,36.3,22.0,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,37631087,0,5,False,False,283,SG,73,149,5607,227
5500.0,,36.0,8.0,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,36993180,0,5,False,False,283,SG,73,145,7851,227
2022.8,22500.0,,,,,,,,False,False,2023-10-09,2023-10-19,sale,ldp,38279226,0,5,False,False,283,SG,73,144,5607,227
14000.0,70000.0,8.0,30.0,,east,,,,False,False,2023-10-16,2023-10-26,sale,ldp,37367245,0,5,False,False,283,SG,73,146,5611,227
1051.0,15200.0,,20.0,,,,,,False,False,2023-10-09,2023-10-19,sale,ldp,38279045,0,5,False,False,283,SG,73,149,0,227
16571.0,42000.0,250.0,71.0,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,38171313,0,5,False,False,283,SG,73,147,8574,227
2000.0,30000.0,,,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,38328580,0,5,False,False,283,SG,73,148,8635,227
1500.0,5500.0,18.2,,,,,,,False,False,2023-09-21,2023-10-21,sale,ldp,38153093,0,5,False,False,283,SG,73,146,5612,227
1492.0,13000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38348096,0,5,False,False,283,SG,73,145,5611,227
907.0,13600.0,13.2,6.0,,,,,,False,False,2023-10-18,2023-11-02,sale,ldp,38349146,0,5,False,False,283,SG,73,149,5609,227
