area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
80.0,10700.0,,8.0,,,,4.0,4.0,False,False,2023-10-12,2023-10-22,sale,ldp,38305349,0,5,False,True,41,SG,67,8942,366,227
105.0,7200.0,7.0,3.5,,north,north,2.0,2.0,False,False,2023-10-04,2023-10-19,sale,ldp,38243025,0,3,False,True,41,SG,67,8943,366,227
121.0,8400.0,4.2,6.0,,,,15.0,15.0,False,False,2023-10-20,2023-10-30,sale,ldp,38093044,0,5,False,False,41,SG,67,8950,650,227
230.0,35000.0,,30.0,,,,,,False,False,2023-10-09,2023-10-19,sale,ldp,38168786,2409,3,False,True,325,SG,67,8942,382,227
114.0,4800.0,4.01,,,,,,,False,False,2023-10-20,2023-10-30,sale,ldp,38300585,0,5,False,False,41,SG,67,8948,795,227
120.0,7700.0,4.0,6.0,,,,4.0,4.0,False,False,2023-10-17,2023-10-27,sale,ldp,38262438,0,5,False,False,41,SG,67,8940,3631,227
73.9,6800.0,,,,,,,,False,False,2023-10-04,2023-10-19,sale,ldp,38083888,0,3,False,True,41,SG,67,8938,4706,227
90.0,10300.0,,,,,,4.0,5.0,False,False,2023-10-11,2023-10-26,sale,ldp,37254157,0,3,False,False,41,SG,67,8948,650,227
72.0,8300.0,4.0,10.0,,,,2.0,2.0,False,False,2023-10-20,2023-10-30,sale,ldp,38136412,0,5,False,False,41,SG,67,8939,382,227
88.4,8500.0,5.2,5.0,,,,3.0,3.0,False,False,2023-10-12,2023-10-19,sale,ldp,38209089,0,3,False,True,41,SG,67,8942,366,227
72.0,6900.0,6.0,7.0,,,,4.0,5.0,False,False,2023-10-23,2023-11-02,sale,ldp,37636268,0,5,False,False,41,SG,67,8938,2023,227
53.0,2100.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,32563989,2944,5,False,False,324,SG,67,8948,650,227
180.0,26000.0,8.5,17.0,,,,6.0,6.0,False,False,2023-10-18,2023-10-28,sale,ldp,38351338,0,5,False,False,163,SG,67,8934,792,227
236.0,19000.0,,,,,,,,False,False,2023-10-14,2023-10-24,sale,ldp,38318886,0,5,False,False,325,SG,67,8937,836,227
550.0,110000.0,,,,,,,,False,False,2023-10-14,2023-10-24,sale,ldp,37990978,0,5,False,False,163,SG,67,8935,1433,227
66.0,8999.76,,,,,,4.0,5.0,False,False,2023-10-18,2023-10-28,sale,ldp,38347633,0,5,False,False,41,SG,67,8938,382,227
62.0,1970.0,,,,,,2.0,2.0,False,False,2023-10-05,2023-10-20,sale,ldp,36239834,2094,3,False,True,324,SG,67,8946,4713,227
60.0,7400.0,5.0,6.0,,,,4.0,3.0,False,False,2023-10-17,2023-10-27,sale,ldp,38202214,0,3,False,False,41,SG,67,8938,382,227
336.0,33000.0,,,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,38209263,0,5,False,False,163,SG,67,8935,338,227
57.5,7400.0,,8.0,,,,3.0,4.0,False,False,2023-10-20,2023-10-30,sale,ldp,38012960,0,5,False,False,41,SG,67,8938,382,227
177.0,14800.0,,,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,37500678,0,5,False,False,163,SG,67,8940,366,227
22.0,1860.0,,,,west,,2.0,2.0,False,False,2023-10-16,2023-10-31,sale,ldp,38102349,0,3,False,False,41,SG,67,8939,119,227
51.0,3300.0,,3.0,,,,,,False,False,2023-10-17,2023-10-24,sale,ldp,38336794,0,3,False,False,41,SG,67,8945,232,227
38.5,5270.0,3.5,5.0,,north,,3.0,3.0,False,False,2023-10-16,2023-10-23,sale,ldp,38333546,0,3,False,True,41,SG,67,8947,727,227
52.5,3900.0,,2.5,,,,2.0,1.0,False,False,2023-10-16,2023-10-23,sale,ldp,38191374,0,3,False,True,41,SG,67,8950,2842,227
220.0,35000.0,11.0,14.0,,west,,8.0,,False,False,2023-10-16,2023-10-23,sale,ldp,38164419,2409,3,False,True,325,SG,67,8942,382,227
100.0,16800.0,,,,,,,,False,False,2023-10-23,2023-11-02,sale,ldp,38326410,2409,5,False,False,325,SG,67,8942,382,227
110.0,10200.0,5.5,,,,,6.0,5.0,False,False,2023-10-13,2023-10-20,sale,ldp,38318197,0,3,False,True,163,SG,67,8945,4761,227
66.0,6400.0,,,,,,3.0,4.0,False,False,2023-10-21,2023-10-31,sale,ldp,38317934,0,5,True,False,41,SG,67,8945,4761,227
100.0,21800.0,,,,,,8.0,6.0,False,False,2023-10-16,2023-10-23,sale,ldp,35339908,2409,3,False,True,325,SG,67,8942,382,227
48.0,7000.0,6.7,,,,,4.0,3.0,False,False,2023-10-14,2023-10-21,sale,ldp,38322675,0,3,False,True,41,SG,67,8946,650,227
53.0,5500.0,3.0,4.0,,,,5.0,2.0,False,False,2023-10-16,2023-10-23,sale,ldp,38201976,0,3,False,True,41,SG,67,8934,433,227
100.0,29180.0,,40.0,,north,north,,,False,False,2023-10-14,2023-10-29,sale,ldp,37894661,2409,3,False,False,163,SG,67,8942,382,227
56.0,7300.0,,,,,,6.0,6.0,False,False,2023-10-16,2023-10-23,sale,ldp,38251646,0,3,False,True,41,SG,67,8939,4709,227
44.5,3930.0,4.5,3.5,,,,2.0,2.0,False,False,2023-10-13,2023-10-28,sale,ldp,38317337,0,3,True,False,41,SG,67,8942,366,227
100.0,10000.0,4.0,12.0,,,,3.0,4.0,False,False,2023-10-23,2023-11-02,sale,ldp,38218603,0,5,False,False,41,SG,67,8938,4773,227
100.0,16500.0,,,,,,,,False,False,2023-10-21,2023-10-28,sale,ldp,38061389,2409,3,False,False,325,SG,67,8942,382,227
64.0,14300.0,4.0,,,north,,4.0,6.0,False,False,2023-10-16,2023-10-31,sale,ldp,35888688,0,5,False,False,163,SG,67,8943,11207,227
86.0,3500.0,,,,,,2.0,,False,False,2023-10-13,2023-10-28,sale,ldp,34317801,2409,3,False,False,324,SG,67,8942,382,227
52.0,5450.0,5.4,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38347425,0,5,False,False,41,SG,67,8936,1433,227
60.0,6500.0,4.0,5.0,,,,4.0,3.0,False,False,2023-10-13,2023-10-20,sale,ldp,38314311,0,3,False,True,41,SG,67,8945,4761,227
50.0,12600.0,7.23,10.0,,,,3.0,5.0,False,False,2023-10-17,2023-10-27,sale,ldp,38336757,0,5,False,False,41,SG,67,8950,2097,227
54.0,6200.0,,,,,,2.0,2.0,False,False,2023-10-12,2023-10-19,sale,ldp,38305507,0,3,False,True,163,SG,67,8934,4143,227
100.0,9400.0,4.0,8.0,,,,4.0,5.0,False,False,2023-10-16,2023-10-26,sale,ldp,38126414,0,5,False,False,41,SG,67,8943,366,227
270.0,14800.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,37634851,0,5,False,False,283,SG,67,8950,11223,227
52.0,1450.0,,,,,,2.0,1.0,False,False,2023-10-02,2023-11-01,sale,ldp,37804777,1293,5,False,False,324,SG,67,8947,837,227
78.0,3500.0,,,,,,2.0,2.0,False,False,2023-10-14,2023-10-29,sale,ldp,36203576,2409,5,False,False,324,SG,67,8942,382,227
32.0,2200.0,5.0,,,,,3.0,3.0,False,False,2023-10-09,2023-10-19,sale,ldp,38253602,0,5,False,True,41,SG,66,8892,0,227
53.0,6800.0,4.8,7.0,,,,4.0,5.0,False,False,2023-10-16,2023-10-26,sale,ldp,37536974,0,5,False,False,41,SG,67,8938,4706,227
65.0,7500.0,,,,,,4.0,4.0,False,False,2023-10-16,2023-10-26,sale,ldp,33526329,0,5,False,False,41,SG,67,8949,836,227
42.0,4700.0,,,,,,3.0,,False,False,2023-10-18,2023-10-28,sale,ldp,38347865,0,5,False,False,41,SG,67,8940,366,227
136.0,34000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,37599064,0,5,False,False,163,SG,67,8940,366,227
68.0,7499.72,,10.0,,,,4.0,5.0,False,False,2023-10-18,2023-10-28,sale,ldp,38352979,0,5,False,False,41,SG,67,8949,6940,227
260.0,21000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,37623778,0,5,False,False,283,SG,67,8946,650,227
525.0,25800.0,,6.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38018434,0,5,False,False,283,SG,67,8949,6940,227
450.0,40000.0,,,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,37500609,0,5,False,False,163,SG,67,8947,837,227
865.0,95000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,37593453,0,5,False,False,163,SG,67,8945,727,227
