area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
2080.0,15600.0,37.0,12.0,,,,,,False,False,2023-10-09,2023-10-19,sale,ldp,36652972,0,3,False,True,283,SG,75,171,10206,227
270.0,14000.0,5.0,10.0,,,,18.0,,False,False,2023-10-16,2023-10-23,sale,ldp,38328475,0,3,False,False,41,SG,75,173,5661,227
123.0,3000.0,5.0,8.0,,,,,,False,False,2023-10-17,2023-10-24,sale,ldp,38344700,0,1,False,False,283,SG,75,177,6616,227
210.0,4400.0,,,,,,,,False,False,2023-10-17,2023-10-24,sale,ldp,38338653,0,3,True,False,283,SG,75,171,0,227
250.0,16500.0,9.0,7.0,,south,south,5.0,3.0,False,False,2023-10-14,2023-10-21,sale,ldp,37595805,0,3,False,True,41,SG,75,172,9887,227
530.0,13500.0,18.0,12.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,35604657,0,5,False,False,283,SG,75,176,9425,227
48.0,600.0,,,,,,,,False,False,2023-10-06,2023-10-21,sale,ldp,38259888,0,0,False,True,41,SG,75,174,5624,227
8200.0,135000.0,60.0,30.0,,,,,5.0,False,False,2023-10-18,2023-10-28,sale,ldp,33912145,0,5,False,False,45,SG,75,177,5783,227
350.0,11500.0,10.0,12.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,37965535,0,5,False,False,283,SG,75,178,11166,227
400.0,11000.0,10.0,12.0,,north,north,16.0,16.0,False,False,2023-10-16,2023-10-26,sale,ldp,38247573,0,5,False,False,163,SG,75,181,10282,227
1250.0,32000.0,20.0,40.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,37824665,0,5,False,False,45,SG,75,174,5624,227
220.0,18000.0,8.0,40.0,,,,1.0,1.0,False,False,2023-10-18,2023-10-28,sale,ldp,37996269,0,5,False,False,163,SG,75,176,5654,227
1250.0,39000.0,13.0,40.0,,,,3.0,2.0,False,False,2023-10-18,2023-10-28,sale,ldp,38109520,0,5,False,False,163,SG,75,178,5653,227
4850.0,42000.0,38.0,15.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,34718028,0,5,False,False,283,SG,75,171,11565,227
120.0,8600.0,4.0,40.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,36508389,0,5,False,False,283,SG,75,178,5654,227
245.0,6000.0,7.5,12.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,35631896,0,5,False,False,283,SG,75,178,13123,227
1850.0,34500.0,60.0,20.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,37965561,0,5,False,False,283,SG,75,181,5786,227
164.0,5000.0,8.0,4.0,,,,8.0,8.0,False,False,2023-10-11,2023-10-26,sale,ldp,36833517,0,5,True,False,41,SG,75,172,5661,227
208.7,14500.0,5.2,8.0,,,,5.0,4.0,False,False,2023-10-18,2023-10-28,sale,ldp,37286294,0,5,False,False,163,SG,75,173,1341,227
3200.0,90000.0,40.0,30.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38177443,0,5,False,False,283,SG,75,177,5783,227
280.0,8500.0,,4.0,,,,2.0,1.0,False,False,2023-10-18,2023-10-28,sale,ldp,38344549,0,5,False,False,41,SG,75,177,0,227
1853.0,12000.0,40.0,10.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,32861861,0,5,False,False,283,SG,75,178,11452,227
1470.0,22000.0,30.0,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,36768464,0,5,False,False,283,SG,75,173,6574,227
1200.0,29000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,35570235,0,5,False,False,283,SG,75,178,5653,227
2850.0,168000.0,26.0,,,,,5.0,3.0,False,False,2023-10-18,2023-10-28,sale,ldp,37087944,0,5,False,False,163,SG,75,178,1343,227
1213.0,29112.0,,,,south,,,,False,False,2023-10-18,2023-10-28,sale,ldp,36704598,0,5,False,False,283,SG,75,173,8156,227
80.0,9000.0,4.0,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38349850,0,5,False,False,41,SG,75,179,1054,227
86.0,2900.0,4.0,,,south,,,,False,False,2023-10-18,2023-11-02,sale,ldp,38024031,0,5,False,False,283,SG,75,174,12186,227
154.0,3300.0,5.0,6.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38192111,0,5,True,False,283,SG,75,173,10900,227
80.0,1250.0,4.0,3.0,,,,2.0,1.0,False,False,2023-10-20,2023-10-30,sale,ldp,38284672,0,5,False,False,41,SG,75,177,12095,227
436.0,,8.5,8.0,,,,2.0,2.0,False,False,2023-10-18,2023-11-02,sale,ldp,37870749,0,5,False,False,41,SG,75,173,9494,227
92.1,4500.0,4.0,15.0,,,,2.0,1.0,False,False,2023-10-18,2023-10-28,sale,ldp,38350114,0,5,False,False,163,SG,75,177,0,227
100.0,4150.0,5.0,12.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,37890654,1699,5,False,False,40,SG,75,175,10836,227
30.0,870.0,,,,,,1.0,1.0,False,False,2023-10-18,2023-10-28,sale,ldp,37509332,0,5,False,False,41,SG,75,178,5654,227
31.5,1030.0,,,,,,2.0,1.0,False,False,2023-10-18,2023-10-28,sale,ldp,38197989,0,5,False,False,163,SG,75,177,6527,227
80.0,2900.0,5.0,10.0,,,,,,False,False,2023-10-18,2023-11-02,sale,ldp,38122091,0,5,False,False,283,SG,75,174,13007,227
130.0,950.0,5.0,10.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38349887,0,5,False,False,283,SG,75,174,5783,227
80.0,1500.0,8.0,6.0,,,,2.0,1.0,False,False,2023-10-18,2023-10-28,sale,ldp,38349748,0,5,False,False,41,SG,75,174,11352,227
620.0,19000.0,20.0,20.0,,,,3.0,2.0,False,False,2023-10-18,2023-10-28,sale,ldp,37878873,0,5,False,False,163,SG,75,177,1339,227
