area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
95.0,3200.0,,,,south,,,,False,False,2023-10-17,2023-11-01,sale,ldp,38339793,2896,3,False,False,40,SG,76,188,12287,227
76.0,1850.0,,,,,,2.0,2.0,False,False,2023-10-16,2023-10-23,sale,ldp,38330558,3290,3,False,True,324,SG,76,190,394,227
100.0,3500.0,,,,,,,,False,False,2023-10-09,2023-10-24,sale,ldp,38200180,2896,3,False,False,40,SG,76,188,12287,227
162.5,20110.0,,,,,,3.0,3.0,False,False,2023-10-17,2023-10-24,sale,ldp,37382207,5308,3,False,False,324,SG,76,187,458,227
129.0,2800.0,,,,west,north,3.0,2.0,False,False,2023-10-13,2023-10-28,sale,ldp,34258783,123,3,False,False,324,SG,76,187,458,227
168.0,7200.0,7.0,40.0,,,,,,False,False,2023-10-17,2023-10-24,sale,ldp,38084381,2896,3,False,False,40,SG,76,188,12287,227
52.0,1490.0,,,,,,2.0,1.0,False,False,2023-10-23,2023-10-30,sale,ldp,34532946,1366,3,False,False,324,SG,76,187,458,227
82.5,5300.0,,40.0,,north,north,,,False,False,2023-10-17,2023-10-24,sale,ldp,38341450,2185,3,False,False,163,SG,76,189,16681,227
168.0,7300.0,7.0,30.0,,north,,,,False,False,2023-10-16,2023-10-23,sale,ldp,38096736,2896,3,False,True,40,SG,76,188,12287,227
143.0,16000.0,,,,east,,3.0,3.0,False,False,2023-10-22,2023-10-29,sale,ldp,33063760,0,3,False,False,163,SG,76,187,314,227
74.34,3300.0,,,,,,2.0,2.0,False,False,2023-10-16,2023-10-23,sale,ldp,38333981,2629,3,False,True,324,SG,76,187,458,227
51.0,5200.0,,,,,,4.0,4.0,False,False,2023-10-16,2023-10-23,sale,ldp,38004275,0,3,False,True,41,SG,76,190,3010,227
129.0,2800.0,,,,,,3.0,3.0,False,False,2023-10-15,2023-10-30,sale,ldp,31824661,123,3,False,False,324,SG,76,187,458,227
110.0,8600.0,,30.0,,north,north,2.0,1.0,False,False,2023-10-16,2023-10-23,sale,ldp,38170431,0,3,False,True,163,SG,76,190,3010,227
70.0,2800.0,,,,,,2.0,2.0,False,False,2023-10-15,2023-10-25,sale,ldp,37977426,2233,3,False,False,324,SG,76,187,458,227
50.0,2340.0,,,,,,,1.0,False,False,2023-10-23,2023-11-02,sale,ldp,37930725,3290,5,False,False,575,SG,76,190,394,227
76.0,1770.0,,,,,,2.0,2.0,False,False,2023-10-12,2023-10-19,sale,ldp,32563866,3290,3,False,True,324,SG,76,190,394,227
75.0,3400.0,,,,south,north,2.0,2.0,False,False,2023-10-14,2023-10-21,sale,ldp,37725745,2629,3,False,True,324,SG,76,187,458,227
75.0,1870.0,,,,,,2.0,2.0,False,False,2023-10-14,2023-10-21,sale,ldp,38320147,3290,3,True,True,324,SG,76,190,394,227
76.0,,,,,,,2.0,,False,False,2023-10-13,2023-10-23,sale,ldp,38313951,4641,3,False,True,324,SG,76,188,314,227
48.0,2200.0,,,,,,2.0,1.0,False,False,2023-10-13,2023-10-23,sale,ldp,38313534,4641,3,False,True,324,SG,76,188,314,227
28.0,1190.0,,4.0,,,,2.0,2.0,False,False,2023-10-13,2023-10-23,sale,ldp,37342194,0,3,False,True,41,SG,76,188,314,227
72.0,1780.0,,,,,,2.0,2.0,False,False,2023-10-13,2023-10-20,sale,ldp,37494832,3290,3,False,True,324,SG,76,190,394,227
