area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
486.0,49000.0,27.0,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,37450090,0,5,False,False,283,SG,68,8958,741,227
98.0,18000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38346816,0,5,False,False,41,SG,68,8967,4826,227
54.0,,,,,,,4.0,3.0,False,False,2023-10-18,2023-10-28,sale,ldp,38352419,0,5,False,False,41,SG,68,8970,4826,227
112.5,36000.0,7.5,,,,,,,False,False,2023-10-26,2023-11-05,sale,ldp,37542072,0,5,False,False,163,SG,68,8965,341,227
48.0,,,6.0,,,,4.0,4.0,False,False,2023-10-18,2023-10-28,sale,ldp,37831558,0,5,False,False,41,SG,68,8962,741,227
60.0,,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38172550,0,5,False,False,283,SG,68,8964,4705,227
72.0,12800.0,,15.0,,,,4.0,5.0,False,False,2023-10-10,2023-10-20,sale,ldp,37851049,0,5,False,True,41,SG,68,8959,537,227
35.9,3550.0,,,,,,4.0,3.0,False,False,2023-10-17,2023-10-27,sale,ldp,38262360,0,5,False,False,41,SG,68,8967,4826,227
130.0,7000.0,,,,,,3.0,2.0,False,False,2023-10-16,2023-10-31,sale,ldp,38328804,1042,5,False,False,324,SG,68,8955,741,227
130.0,32000.0,,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,37713710,0,5,False,False,163,SG,68,8956,991,227
65.0,9900.0,,6.0,,,,4.0,5.0,False,False,2023-10-18,2023-10-28,sale,ldp,38352469,0,5,False,False,41,SG,68,8962,0,227
51.8,,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38186189,0,5,False,False,41,SG,68,8972,346,227
121.0,7800.0,,,,,,3.0,2.0,False,False,2023-10-26,2023-11-10,sale,ldp,38168143,2123,5,False,False,324,SG,68,8963,337,227
300.0,70000.0,,,,,,16.0,16.0,False,False,2023-10-18,2023-10-28,sale,ldp,38066037,0,5,False,False,163,SG,68,8964,341,227
41.0,4950.0,,,,,,4.0,3.0,False,False,2023-10-15,2023-10-25,sale,ldp,38326379,0,5,False,True,41,SG,68,8972,752,227
75.0,5500.0,,,,,,2.0,2.0,False,False,2023-10-26,2023-11-10,sale,ldp,38168192,1183,5,False,False,324,SG,68,8968,341,227
58.0,5500.0,,,,,,4.0,,False,False,2023-10-18,2023-10-28,sale,ldp,33762381,0,5,False,False,41,SG,68,8971,997,227
40.0,,4.0,12.0,,,,2.0,2.0,False,False,2023-10-11,2023-10-21,sale,ldp,37005361,0,5,False,True,41,SG,68,8959,537,227
70.0,,,,,,,3.0,3.0,False,False,2023-10-18,2023-10-28,sale,ldp,37780213,0,5,False,False,41,SG,68,8956,5936,227
58.0,8200.0,,,,,,4.0,4.0,False,False,2023-10-10,2023-10-20,sale,ldp,38288046,0,5,False,True,41,SG,68,8967,1618,227
118.0,15500.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38353172,0,5,False,False,41,SG,68,8962,991,227
80.0,21500.0,,,,,,5.0,6.0,False,False,2023-10-13,2023-10-23,sale,ldp,38309051,0,5,False,True,41,SG,68,8956,4838,227
75.0,4600.0,,,,,,2.0,2.0,False,False,2023-10-24,2023-11-08,sale,ldp,32401454,2123,5,False,False,324,SG,68,8963,341,227
109.0,21500.0,9.0,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38353022,0,5,False,False,163,SG,68,8968,3361,227
50.0,13800.0,,8.0,,,,5.0,4.0,False,False,2023-10-09,2023-10-24,sale,ldp,37692300,0,5,False,True,163,SG,68,8955,2014,227
54.0,11200.0,,4.5,,,,4.0,5.0,False,False,2023-10-15,2023-10-30,sale,ldp,38325490,0,5,False,False,41,SG,68,8964,402,227
120.0,8100.0,,,,,,3.0,2.0,False,False,2023-10-17,2023-11-01,sale,ldp,33585879,2123,5,False,False,324,SG,68,8963,341,227
375.0,122000.0,,,,,,,,False,False,2023-10-14,2023-10-24,sale,ldp,36993909,0,5,False,True,163,SG,68,8956,991,227
90.0,6400.0,,,,,,3.0,2.0,False,False,2023-10-19,2023-10-29,sale,ldp,36428784,2123,5,False,False,324,SG,68,8963,341,227
88.2,35000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38349886,0,5,False,False,163,SG,68,8968,4826,227
161.0,36000.0,10.0,6.0,,,,13.0,13.0,False,False,2023-10-21,2023-11-20,sale,ldp,38048057,0,5,False,False,41,SG,68,8958,0,227
44.0,7500.0,,3.0,,south,west,4.0,4.0,False,False,2023-10-23,2023-11-02,sale,ldp,38110840,0,5,False,False,41,SG,68,8967,821,227
85.0,4600.0,,,,,,2.0,2.0,False,False,2023-10-17,2023-10-27,sale,ldp,37544947,1042,5,False,False,324,SG,68,8955,741,227
140.0,16000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38350947,0,5,False,False,41,SG,68,8970,4826,227
122.0,,,,,,,2.0,2.0,False,False,2023-10-20,2023-10-30,sale,ldp,18315222,1042,5,False,False,324,SG,68,8955,741,227
63.5,9500.0,,,,,,2.0,2.0,False,False,2023-10-17,2023-11-01,sale,ldp,38028309,0,5,False,False,41,SG,68,8967,821,227
42.0,5100.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38352734,0,5,False,False,41,SG,68,8958,991,227
63.5,9500.0,4.05,4.0,,,,3.0,2.0,False,False,2023-10-17,2023-10-27,sale,ldp,37847840,0,5,False,False,41,SG,68,8967,821,227
81.0,13200.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38352676,0,5,False,False,41,SG,68,8967,1618,227
81.4,16800.0,7.0,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38352701,0,5,False,False,41,SG,68,8967,3361,227
87.0,4100.0,,,,,,2.0,2.0,False,False,2023-10-10,2023-10-20,sale,ldp,36223706,1042,5,False,True,324,SG,68,8955,741,227
76.0,,,,,,,4.0,4.0,False,False,2023-10-18,2023-10-28,sale,ldp,38049654,0,5,False,False,163,SG,68,8955,439,227
64.0,22000.0,,,,,,,,False,False,2023-09-19,2023-10-19,sale,ldp,38137723,0,5,False,True,163,SG,68,8972,213,227
210.0,31000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38349792,0,5,False,False,41,SG,68,8962,0,227
53.0,6000.0,,,,,,4.0,4.0,False,False,2023-10-06,2023-11-05,sale,ldp,36887518,0,5,False,False,41,SG,68,8956,991,227
87.0,5400.0,,,,,,3.0,2.0,False,False,2023-10-12,2023-10-22,sale,ldp,38224335,1963,5,False,True,324,SG,68,8964,322,227
78.0,9000.0,,,,,,4.0,,False,False,2023-10-06,2023-11-05,sale,ldp,36518231,0,5,False,False,41,SG,68,8956,991,227
120.0,32000.0,,,,,,,,False,False,2023-10-13,2023-10-28,sale,ldp,38314590,0,5,False,False,41,SG,68,8964,4862,227
61.0,33000.0,6.0,,,,,,,False,False,2023-10-16,2023-11-15,sale,ldp,37528790,0,5,False,False,163,SG,68,8956,991,227
189.0,42000.0,9.0,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38352625,0,5,False,False,163,SG,68,8968,341,227
65.0,,5.0,5.0,,,,3.0,2.0,False,False,2023-10-18,2023-10-28,sale,ldp,38352439,0,5,False,False,41,SG,68,8956,4842,227
75.0,16900.0,5.5,6.0,,,,3.0,3.0,False,False,2023-10-09,2023-10-24,sale,ldp,37877382,0,5,False,True,41,SG,68,8969,4826,227
160.0,50000.0,,,,,,,,False,False,2023-10-13,2023-10-23,sale,ldp,38309964,0,5,False,True,163,SG,68,8962,991,227
51.6,,,,,,,6.0,7.0,False,False,2023-10-18,2023-10-28,sale,ldp,38271445,0,5,False,False,41,SG,68,8965,821,227
65.8,,,,,,,2.0,2.0,False,False,2023-10-18,2023-10-28,sale,ldp,38352037,129,5,False,False,324,SG,68,8962,4840,227
103.0,37000.0,6.0,,,,,,,False,False,2023-10-27,2023-11-26,sale,ldp,38082584,0,5,False,False,163,SG,68,8965,341,227
32.7,6300.0,,,,,,4.0,4.0,False,False,2023-10-18,2023-10-28,sale,ldp,38351960,0,5,False,False,41,SG,68,8967,4826,227
68.0,12500.0,6.0,6.0,,,,4.0,4.0,False,False,2023-10-18,2023-11-17,sale,ldp,36162611,0,5,False,False,41,SG,68,8964,402,227
88.0,20000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38347493,0,5,False,False,163,SG,68,8955,213,227
80.0,4800.0,,,,,,2.0,2.0,False,False,2023-10-20,2023-11-04,sale,ldp,32816299,2123,5,False,False,324,SG,68,8963,341,227
98.0,16500.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38352521,0,5,False,False,163,SG,68,8962,741,227
80.0,4700.0,,,,,,2.0,,False,False,2023-10-17,2023-10-27,sale,ldp,38337179,2123,5,False,False,324,SG,68,8963,341,227
52.0,2130.0,,,,,,2.0,1.0,False,False,2023-10-18,2023-10-28,sale,ldp,32453409,0,5,False,False,324,SG,68,8964,4862,227
85.0,12000.0,,6.0,,,,2.0,3.0,False,False,2023-10-18,2023-10-28,sale,ldp,38350595,0,5,False,False,41,SG,68,8958,741,227
56.0,,4.6,,,,,3.0,4.0,False,False,2023-10-18,2023-10-28,sale,ldp,37683896,0,5,False,False,163,SG,68,8958,741,227
90.0,14500.0,,7.0,,,,4.0,5.0,False,False,2023-10-18,2023-10-28,sale,ldp,38350452,0,5,False,False,41,SG,68,8967,4298,227
98.0,15000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38351855,0,5,False,False,41,SG,68,8956,439,227
54.0,,,,,,,4.0,3.0,False,False,2023-10-22,2023-11-01,sale,ldp,37726768,0,5,False,False,41,SG,68,8970,4826,227
350.0,55000.0,18.0,20.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38351747,0,5,False,False,163,SG,68,8965,0,227
