area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId,createByUser,productType
105.0,28000.0,,,,,,,,False,False,2023-10-29,2023-11-08,sale,ldp,38155053,0,5,False,True,163,SG,69,8980,1759,227,1133299,38
98.0,6800.0,,,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,38329851,0,3,False,True,163,SG,69,8990,6066,227,387510,38
125.0,26500.0,,,,,,8.0,8.0,False,False,2023-10-16,2023-10-23,sale,ldp,38335144,0,3,False,True,163,SG,69,8991,827,227,1869392,38
110.0,24500.0,,,,,,,,False,False,2023-12-08,2023-12-18,sale,ldp,35193555,0,5,False,False,163,SG,69,8987,2771,227,664939,38
80.0,4280.0,,,,,,2.0,2.0,False,False,2023-10-16,2023-10-23,sale,ldp,38324866,2047,3,False,True,324,SG,69,8976,4831,227,785922,38
40.0,8600.0,5.0,,,,,2.0,2.0,False,False,2023-10-16,2023-10-26,sale,ldp,38332919,0,3,False,True,163,SG,69,8982,4891,227,337719,38
130.0,31900.0,9.0,,,,,6.0,5.0,False,False,2023-12-04,2023-12-14,sale,ldp,38332027,0,5,False,True,41,SG,69,8976,4830,227,1456766,38
115.0,28500.0,,,,,,,,False,False,2023-12-04,2023-12-14,sale,ldp,34901149,0,5,False,True,163,SG,69,8976,527,227,1133299,38
50.0,,,5.0,,,,,,False,False,2023-12-07,2023-12-22,sale,ldp,36990684,0,5,False,False,41,SG,69,8980,11301,227,1348821,38
220.0,28000.0,12.0,,,,,6.0,6.0,False,False,2023-11-25,2023-12-05,sale,ldp,38321031,0,5,False,True,163,SG,69,8976,4831,227,1630822,38
58.0,850.0,,,,,,2.0,2.0,False,False,2023-12-06,2023-12-13,sale,ldp,37480387,0,3,False,True,324,SG,69,8991,727,227,394986,38
170.0,27500.0,,,,,,,,False,False,2023-12-01,2023-12-08,sale,ldp,37703887,0,3,False,True,163,SG,69,8987,902,227,1846358,38
160.0,26900.0,6.5,,,,,6.0,6.0,False,False,2023-11-25,2023-12-05,sale,ldp,38321088,0,5,False,True,163,SG,69,8987,792,227,1630822,38
135.0,11500.0,4.7,,,,,7.0,,False,False,2023-10-14,2023-10-21,sale,ldp,38319382,0,3,False,True,41,SG,69,8985,621,227,1892300,38
62.0,7000.0,,6.0,,,,5.0,4.0,False,False,2023-10-13,2023-10-20,sale,ldp,38314509,0,3,False,True,41,SG,69,8984,621,227,2269488,38
50.0,5100.0,4.0,4.0,,,,4.0,4.0,False,False,2023-11-19,2023-11-29,sale,ldp,37202883,0,5,False,True,41,SG,69,8991,6024,227,558592,38
110.0,13500.0,7.0,,,,,,,False,False,2023-11-10,2023-11-17,sale,ldp,38306117,0,3,False,True,41,SG,69,8987,902,227,392159,38
140.0,21800.0,,,,,,,,False,False,2023-10-12,2023-10-19,sale,ldp,38304559,0,3,False,True,41,SG,69,8982,1759,227,1267541,38
21.0,2500.0,3.0,5.0,,,,2.0,2.0,False,False,2023-11-15,2023-11-25,sale,ldp,35873400,0,5,False,True,41,SG,69,8984,778,227,814927,38
80.0,13000.0,,,,,,,,False,False,2023-11-14,2023-11-21,sale,ldp,38236126,0,3,False,True,163,SG,69,8987,7977,227,392159,38
45.0,5500.0,,,,,,4.0,5.0,False,False,2023-11-03,2023-11-13,sale,ldp,38306633,0,5,False,True,41,SG,69,8985,4981,227,2537974,38
78.0,16900.0,,6.0,,,,4.0,5.0,False,False,2023-12-01,2023-12-16,sale,ldp,37487181,0,3,False,False,41,SG,69,8978,3775,227,2417860,38
220.0,60000.0,10.0,,,,,,,False,False,2023-11-06,2023-11-16,sale,ldp,38289164,0,5,False,True,163,SG,69,8976,1094,227,664939,38
95.0,,,,,,,5.0,,False,False,2023-12-14,2023-12-24,sale,ldp,37654576,0,5,False,False,41,SG,69,8991,831,227,1892213,38
98.0,,,,,,,5.0,,False,False,2023-11-04,2023-11-14,sale,ldp,37852664,0,5,False,True,41,SG,69,8976,4921,227,1892213,38
84.0,9600.0,,8.0,,,,5.0,,False,False,2023-11-04,2023-11-14,sale,ldp,37748812,0,5,False,True,41,SG,69,8991,6024,227,1892213,38
135.0,8750.0,,,,,,7.0,,False,False,2023-10-18,2023-10-28,sale,ldp,37630049,0,5,False,True,41,SG,69,8989,3775,227,1892213,38
56.0,5400.0,,,,,,1.0,,False,False,2023-10-18,2023-10-28,sale,ldp,37706019,0,5,False,True,41,SG,69,8987,902,227,1892213,38
108.0,,,,,,,6.0,,False,False,2023-10-18,2023-10-28,sale,ldp,37538854,0,5,False,True,41,SG,69,8978,2564,227,1892213,38
64.0,5500.0,,,,,,4.0,,False,False,2023-11-13,2023-11-23,sale,ldp,37957626,0,5,False,True,41,SG,69,8985,1902,227,1892213,38
78.0,10900.0,,,,,,4.0,,False,False,2023-10-18,2023-10-28,sale,ldp,38075264,0,5,False,True,41,SG,69,8990,318,227,2323638,38
56.0,7500.0,,,,,,4.0,,False,False,2023-12-08,2023-12-18,sale,ldp,37586518,0,5,False,False,41,SG,69,8985,1902,227,1892213,38
27.0,2750.0,,,,,,2.0,2.0,False,False,2023-10-16,2023-10-26,sale,ldp,38331090,0,5,False,True,41,SG,69,8985,778,227,2528196,38
100.0,19800.0,5.0,,,,,,,False,False,2023-11-03,2023-11-13,sale,ldp,38213935,0,5,False,True,163,SG,69,8976,1600,227,2388763,38
68.0,8900.0,4.0,,,,,4.0,4.0,False,False,2023-10-27,2023-11-06,sale,ldp,38063669,0,5,False,True,41,SG,69,8990,0,227,2481363,38
69.0,7200.0,,,,,,3.0,,False,False,2023-10-18,2023-10-28,sale,ldp,37928887,0,5,False,True,41,SG,69,8987,4974,227,2216997,38
48.0,6850.0,,3.0,,,,3.0,2.0,False,False,2023-10-18,2023-11-17,sale,ldp,37697184,0,5,False,True,41,SG,69,8984,778,227,2440424,38
51.0,6900.0,3.96,,,,,5.0,6.0,False,False,2023-10-20,2023-10-30,sale,ldp,38266596,0,5,False,True,41,SG,69,8986,621,227,2510789,38
60.0,7600.0,4.0,5.0,,,,4.0,4.0,False,False,2023-10-16,2023-10-26,sale,ldp,38335284,0,5,False,True,41,SG,69,8985,4981,227,2508337,38
64.0,7800.0,,,,,,4.0,4.0,False,False,2023-10-16,2023-10-26,sale,ldp,38330873,0,5,False,True,41,SG,69,8987,6004,227,2508337,38
57.0,9200.0,,,,,,8.0,5.0,False,False,2023-10-17,2023-10-27,sale,ldp,38338464,0,5,True,True,41,SG,69,8987,792,227,2531362,38
56.0,4400.0,,4.0,,,,2.0,,False,False,2023-11-07,2023-11-17,sale,ldp,38251710,0,5,True,True,41,SG,69,8983,621,227,2531362,38
150.0,51000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,37762644,0,5,False,True,163,SG,69,8976,527,227,1902344,38
90.0,8400.0,5.0,6.0,,,,,,False,False,2023-10-24,2023-11-03,sale,ldp,38319776,0,5,False,True,41,SG,69,8979,1759,227,2538540,38
