area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
60.0,7100.0,4.2,7.0,,,,4.0,4.0,False,False,2023-10-18,2023-10-25,sale,ldp,38350510,0,1,False,False,41,SG,71,134,13608,227
51.0,2860.0,,,,,,,,False,False,2023-10-18,2023-10-25,sale,ldp,38251424,5421,1,False,False,324,SG,71,134,11192,227
75.0,,,,,,,2.0,2.0,False,False,2023-10-14,2023-10-24,sale,ldp,28795087,3567,1,False,False,324,SG,71,11915,1433,227
60.0,2200.0,,,,,,2.0,2.0,False,False,2023-10-20,2023-10-30,sale,ldp,29864499,3567,5,False,False,324,SG,71,11915,1433,227
59.2,7060.0,5.0,50.0,,,,4.0,4.0,False,False,2023-10-13,2023-10-23,sale,ldp,38311502,0,1,False,False,41,SG,71,133,7634,227
75.0,2800.0,,,,,,2.0,2.0,False,False,2023-10-17,2023-10-24,sale,ldp,38343047,3567,1,False,False,324,SG,71,11915,1433,227
53.0,1980.0,,,,,,1.0,1.0,False,False,2023-10-14,2023-10-21,sale,ldp,26315242,3049,1,False,True,324,SG,71,11845,3789,227
68.0,2500.0,,,,,,2.0,2.0,False,False,2023-10-16,2023-10-23,sale,ldp,29728490,3049,1,False,False,324,SG,71,11845,11219,227
138.0,3880.0,,,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,38328824,0,1,False,False,283,SG,71,11895,1836,227
70.0,6500.0,,8.0,,,,4.0,4.0,False,False,2023-10-05,2023-10-20,sale,ldp,33636916,0,1,False,True,41,SG,71,134,7634,227
336.0,36000.0,,,,,,3.0,3.0,False,False,2023-10-04,2023-10-19,sale,ldp,38238136,1010,0,False,True,325,SG,71,134,11219,227
98.0,8900.0,,,,,,3.0,2.0,False,False,2023-10-17,2023-10-24,sale,ldp,38339067,5142,1,False,False,324,SG,71,11953,5011,227
60.0,3700.0,,,,,,,,False,False,2023-10-10,2023-10-25,sale,ldp,37977237,2129,1,False,False,575,SG,71,133,1433,227
105.0,3850.0,,,,,,,,False,False,2023-10-09,2023-10-24,sale,ldp,38277465,0,1,False,False,163,SG,71,11916,0,227
218.0,19200.0,11.0,4.0,,,,,,False,False,2023-10-13,2023-10-20,sale,ldp,35218616,0,1,False,True,283,SG,71,134,7634,227
129.5,6500.0,,,,,,2.0,1.0,False,False,2023-10-13,2023-10-28,sale,ldp,38317073,0,0,False,False,41,SG,71,11895,11232,227
76.8,2350.0,,,,,,2.0,2.0,False,False,2023-10-22,2023-10-29,sale,ldp,22795315,318,3,False,False,324,SG,71,11845,4150,227
80.0,6500.0,,,,,,4.0,4.0,False,False,2023-10-10,2023-10-20,sale,ldp,38288062,0,1,False,True,41,SG,71,133,1433,227
100.0,14860.0,5.0,16.0,,,,4.0,6.0,False,False,2023-10-09,2023-10-24,sale,ldp,38203864,2034,3,False,False,163,SG,71,134,7634,227
280.0,23000.0,,,,,,,,False,False,2023-10-06,2023-10-21,sale,ldp,38232391,0,3,False,True,163,SG,71,134,7634,227
60.0,2250.0,,,,,,2.0,2.0,False,False,2023-10-10,2023-10-20,sale,ldp,26879945,3567,3,False,True,324,SG,71,11915,1433,227
100.0,22000.0,,30.0,,,,4.0,4.0,False,False,2023-10-14,2023-10-21,sale,ldp,36616536,2034,1,False,True,325,SG,71,134,7634,227
236.0,15500.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,37995630,0,5,False,False,283,SG,71,133,3786,227
86.0,8900.0,,,,,,5.0,5.0,False,False,2023-10-18,2023-10-28,sale,ldp,37995667,0,5,False,False,41,SG,71,133,2840,227
70.0,8300.0,4.0,8.0,,,,4.0,5.0,False,False,2023-10-18,2023-10-28,sale,ldp,35511271,0,5,False,False,41,SG,71,134,11219,227
88.0,,,,,,,3.0,3.0,False,False,2023-10-18,2023-10-28,sale,ldp,36956705,0,5,False,False,324,SG,71,12423,3789,227
161.0,28000.0,,,,,,,,False,False,2023-10-16,2023-10-23,sale,ldp,37902028,2034,3,False,False,325,SG,71,134,7634,227
147.0,33000.0,,24.0,,,,,,False,False,2023-10-16,2023-10-23,sale,ldp,36792612,2034,3,False,False,163,SG,71,134,7634,227
12000.0,535000.0,,,,,,,,False,False,2023-10-16,2023-10-23,sale,ldp,38333292,0,3,False,False,283,SG,71,12437,0,227
53.0,2050.0,,,,,,1.0,1.0,False,False,2023-10-16,2023-10-23,sale,ldp,38331134,3049,3,False,False,324,SG,71,11845,3789,227
67.0,2500.0,,,,,,2.0,2.0,False,False,2023-10-16,2023-10-23,sale,ldp,38249030,3049,3,False,False,324,SG,71,11845,3789,227
70.0,,,,,,,2.0,1.0,False,False,2023-10-18,2023-10-28,sale,ldp,34401528,2538,5,False,False,324,SG,71,11845,1999,227
51.1,,4.3,,,,,,,False,False,2023-10-15,2023-10-25,sale,ldp,36631384,0,3,False,False,283,SG,71,11895,7815,227
140.0,25500.0,20.0,20.0,,,,6.0,7.0,False,False,2023-10-23,2023-11-02,sale,ldp,37972882,2034,5,False,False,325,SG,71,134,13608,227
238.0,26000.0,12.0,12.0,,,,5.0,6.0,False,False,2023-10-11,2023-10-26,sale,ldp,38281850,0,3,False,False,41,SG,71,133,2842,227
155.0,14500.0,7.2,20.0,,,,4.0,,False,False,2023-10-16,2023-10-23,sale,ldp,32400563,0,3,False,False,163,SG,71,133,11216,227
65.0,3200.0,,,,,,2.0,2.0,False,False,2023-10-14,2023-10-21,sale,ldp,38321171,5421,3,False,True,324,SG,71,134,11192,227
440.0,32000.0,11.0,10.0,,,,,,False,False,2023-10-13,2023-10-28,sale,ldp,37180898,0,3,False,False,283,SG,71,134,7634,227
105.0,7990.0,10.0,10.0,,,,4.0,5.0,False,False,2023-10-12,2023-10-27,sale,ldp,38302503,0,3,False,False,41,SG,71,133,11207,227
62.0,2450.0,10.0,2.5,,west,,,,False,False,2023-10-13,2023-10-20,sale,ldp,38316535,0,3,False,True,283,SG,71,137,2841,227
69.0,3200.0,5.3,3.0,,,,2.0,2.0,False,False,2023-10-12,2023-10-22,sale,ldp,38300801,0,5,False,True,41,SG,71,11895,7815,227
34.0,3100.0,4.0,2.0,,,,2.0,2.0,False,False,2023-10-18,2023-11-02,sale,ldp,38122445,0,5,False,False,41,SG,71,135,2638,227
50.5,3250.0,5.8,5.0,,,,,,False,False,2023-10-13,2023-10-23,sale,ldp,36739604,0,3,False,False,283,SG,71,11895,6760,227
65.0,3260.0,,,,,,2.0,,False,False,2023-10-13,2023-10-20,sale,ldp,38132875,5421,3,False,True,324,SG,71,134,11192,227
58.0,3650.0,,,,,,2.0,1.0,False,False,2023-10-15,2023-10-30,sale,ldp,37117462,0,5,False,False,41,SG,71,134,11206,227
410.0,28000.0,20.0,10.0,,,,4.0,5.0,False,False,2023-10-22,2023-11-01,sale,ldp,37752827,0,5,False,False,41,SG,71,133,1433,227
110.0,14800.0,,14.0,,,,,,False,False,2023-10-16,2023-10-23,sale,ldp,33891411,2034,3,False,False,163,SG,71,134,7634,227
63.0,4600.0,,,,,,4.0,5.0,False,False,2023-10-18,2023-11-02,sale,ldp,36763270,0,5,False,False,41,SG,71,134,2840,227
3295.7,61000.0,43.0,10.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38214553,0,5,False,False,283,SG,71,11895,1836,227
100.0,15000.0,5.0,35.0,,,,5.0,6.0,False,False,2023-10-14,2023-10-21,sale,ldp,38320957,2034,3,False,True,325,SG,71,134,7634,227
138.0,14000.0,10.0,20.0,,,,5.0,5.0,False,False,2023-10-13,2023-10-23,sale,ldp,38317301,0,5,False,False,163,SG,71,133,3780,227
52.0,1850.0,,,,,,1.0,1.0,False,False,2023-10-18,2023-10-28,sale,ldp,30514776,3049,5,False,False,324,SG,71,11845,3789,227
3000.0,59000.0,38.0,8.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38177358,0,5,False,False,283,SG,71,11895,1836,227
220.0,,11.0,10.0,,,,,,False,False,2023-10-17,2023-11-01,sale,ldp,32978416,0,5,False,False,283,SG,71,134,7634,227
2000.0,240000.0,,,,east,,,,False,False,2023-10-07,2023-11-06,sale,ldp,37947267,0,5,False,False,325,SG,71,11953,474,227
952.0,220000.0,,,,,,5.0,6.0,False,False,2023-10-02,2023-11-01,sale,ldp,38217809,0,5,False,False,163,SG,71,12437,1416,227
100.0,14850.0,5.0,14.0,,south,,6.0,6.0,False,False,2023-10-23,2023-11-07,sale,ldp,24592114,2034,1,False,False,325,SG,71,134,3788,227
120.0,15900.0,,,,,,3.0,,False,False,2023-10-07,2023-10-22,sale,ldp,38157735,0,1,False,True,163,SG,71,133,11210,227
140.0,25000.0,5.0,,,west,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38206288,2034,3,False,False,575,SG,71,134,7634,227
1100.0,110000.0,1.0,,,,,1.0,1.0,False,False,2023-10-17,2023-10-24,sale,ldp,37312368,0,3,False,False,163,SG,71,136,1433,227
105.0,15500.0,5.0,16.0,,,,4.0,5.0,False,False,2023-10-23,2023-11-07,sale,ldp,24604589,2034,1,False,False,325,SG,71,134,7634,227
150.0,,7.0,6.0,,,,2.0,1.0,False,False,2023-10-17,2023-10-24,sale,ldp,38137120,0,3,False,False,41,SG,71,137,3780,227
57.0,2300.0,,,,,,2.0,2.0,False,False,2023-10-17,2023-10-24,sale,ldp,28979491,3567,3,False,False,324,SG,71,11915,1433,227
68.0,2400.0,,,,,,2.0,2.0,False,False,2023-10-17,2023-10-24,sale,ldp,28788921,3049,3,False,False,324,SG,71,11845,3789,227
53.0,1700.0,,,,,,1.0,1.0,False,False,2023-10-17,2023-10-24,sale,ldp,35597003,3049,3,False,False,324,SG,71,11845,11206,227
67.0,2500.0,,,,,,2.0,2.0,False,False,2023-10-17,2023-10-24,sale,ldp,28292057,3049,3,False,False,324,SG,71,11845,11219,227
90.0,4700.0,,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,38259790,0,3,False,False,283,SG,71,135,5971,227
82.0,4800.0,5.0,6.0,,,,,,False,False,2023-10-18,2023-10-25,sale,ldp,37239112,0,3,False,False,283,SG,71,135,2638,227
60.0,7000.0,,,,,,4.0,4.0,False,False,2023-10-23,2023-11-07,sale,ldp,38310856,0,5,False,False,41,SG,71,134,7634,227
152.0,13680.0,10.0,16.0,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,38334053,0,3,True,False,283,SG,71,12427,11271,227
130.0,13500.0,,,,,,4.0,4.0,False,False,2023-10-08,2023-10-18,sale,ldp,38274272,0,5,False,True,163,SG,71,136,1994,227
89.3,,,,,,,,,False,False,2023-10-17,2023-10-24,sale,ldp,38281125,0,3,False,False,283,SG,71,135,2869,227
60.0,,,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,38336979,0,5,False,False,283,SG,71,11895,11192,227
192.3,7950.0,11.0,6.0,,,,,,False,False,2023-10-11,2023-10-26,sale,ldp,38060777,0,5,False,False,283,SG,71,137,11209,227
89.3,4690.0,5.5,6.0,,,,,,False,False,2023-10-20,2023-11-04,sale,ldp,36729285,0,5,False,False,283,SG,71,135,2869,227
160.0,29000.0,,30.0,,,,5.0,5.0,False,False,2023-10-18,2023-10-28,sale,ldp,37104079,0,5,False,False,325,SG,71,134,7634,227
220.0,17500.0,,,,,,,,False,False,2023-10-12,2023-10-22,sale,ldp,38301238,0,5,False,True,283,SG,71,136,5015,227
101.0,,,,,,,2.0,2.0,False,False,2023-10-18,2023-10-28,sale,ldp,38349841,0,5,False,False,41,SG,71,135,11317,227
68.0,2500.0,4.0,7.0,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,38335148,0,5,False,False,283,SG,71,133,11215,227
62.0,6500.0,5.6,20.0,,,,3.0,4.0,False,False,2023-10-18,2023-10-28,sale,ldp,34773107,0,5,False,False,41,SG,71,134,7634,227
68.0,2500.0,4.0,7.0,,,,,,False,False,2023-10-15,2023-10-25,sale,ldp,38103666,0,5,False,False,283,SG,71,133,11215,227
62.0,,4.0,,,,,3.0,2.0,False,False,2023-10-17,2023-10-27,sale,ldp,38344216,0,5,False,False,41,SG,71,11953,4996,227
85.0,5400.0,,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,38342445,0,5,False,False,283,SG,71,136,11207,227
94.7,,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38138595,0,5,False,False,283,SG,71,135,1433,227
193.0,70000.0,50.0,50.0,,,,4.0,5.0,False,False,2023-10-18,2023-10-28,sale,ldp,38197736,0,5,False,False,163,SG,71,11953,5011,227
60.0,3850.0,5.0,4.0,,,,3.0,2.0,False,False,2023-10-14,2023-10-24,sale,ldp,37821123,0,5,False,False,41,SG,71,133,5667,227
112.9,13900.0,20.0,,,,,1.0,1.0,False,False,2023-10-18,2023-10-28,sale,ldp,38114788,0,5,False,False,163,SG,71,134,6198,227
65.0,3100.0,,,,,,2.0,2.0,False,False,2023-10-18,2023-10-28,sale,ldp,38349420,0,5,False,False,41,SG,71,11915,11192,227
72.0,,,,,,,2.0,2.0,False,False,2023-10-23,2023-11-02,sale,ldp,37057206,2571,5,False,False,324,SG,71,11953,4996,227
297.0,120000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38351707,0,5,False,False,163,SG,71,12441,2736,227
168.0,45000.0,6.0,,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,38252207,0,5,False,False,163,SG,71,12440,1423,227
62.2,3620.0,,,,,,,,False,False,2023-09-25,2023-10-25,sale,ldp,38177733,0,5,True,False,283,SG,71,11895,6760,227
355.0,58000.0,,,,,,,,False,False,2023-10-12,2023-10-22,sale,ldp,38303472,0,5,False,True,325,SG,71,12442,0,227
68.0,2800.0,,,,,,2.0,2.0,False,False,2023-10-23,2023-11-02,sale,ldp,37146312,3049,5,False,False,324,SG,71,11845,3789,227
100.0,7500.0,6.0,5.0,,,,,,False,False,2023-10-12,2023-10-22,sale,ldp,38123890,0,5,False,True,283,SG,71,134,8861,227
300.0,13900.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38351525,0,5,False,False,41,SG,71,11916,5015,227
56.0,11200.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38351267,0,5,False,False,163,SG,71,11953,4996,227
107.0,5500.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38351349,0,5,False,False,41,SG,71,11916,2638,227
110.0,6200.0,5.0,5.0,,,,4.0,3.0,False,False,2023-10-13,2023-10-23,sale,ldp,38038415,0,5,False,False,41,SG,71,134,6759,227
83.0,,5.0,9.0,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,38336974,0,5,False,False,283,SG,71,134,1836,227
