area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId,createByUser,productType
105.0,895.0,,,,,,,,False,False,2023-10-18,2023-10-25,sale,ldp,38352865,0,1,False,False,283,SG,72,11863,5255,227,,
143.0,,,25.0,,,,,,False,False,2023-10-14,2023-10-21,sale,ldp,37960068,0,1,False,False,283,SG,72,11856,7649,227,,
59.0,2655.0,,,,,,2.0,2.0,False,False,2023-10-18,2023-10-28,sale,ldp,38346660,4613,1,False,False,324,SG,72,11847,9430,227,,
142.1,1950.0,6.0,6.0,,,,,,False,False,2023-10-14,2023-10-21,sale,ldp,38261053,0,1,False,False,283,SG,72,11856,5837,227,,
85.0,3390.0,,,,,,3.0,2.0,False,False,2023-10-09,2023-10-24,sale,ldp,38275139,4613,0,False,False,324,SG,72,11847,9430,227,,
105.0,920.0,,,,,,,,False,False,2023-10-18,2023-10-25,sale,ldp,38345840,0,1,False,False,283,SG,72,11852,7648,227,,
120.0,950.0,25.0,8.0,,,,,,False,False,2023-10-18,2023-10-25,sale,ldp,38345790,0,1,False,False,283,SG,72,11849,2544,227,,
280.0,,10.0,25.0,,,,,,False,False,2023-10-18,2023-10-25,sale,ldp,38054090,0,1,False,False,283,SG,72,11856,5837,227,,
118.0,,25.0,8.0,,,,,,False,False,2023-10-17,2023-10-24,sale,ldp,38336886,0,1,False,False,283,SG,72,11854,3970,227,,
59.0,1900.0,,,,,,2.0,2.0,False,False,2023-10-17,2023-10-24,sale,ldp,38342692,4613,1,False,False,324,SG,72,11847,9430,227,,
59.0,2200.0,,,,,,2.0,2.0,False,False,2023-10-16,2023-10-26,sale,ldp,38329469,4613,1,False,False,324,SG,72,11847,9430,227,,
79.0,3250.0,,,,,,2.0,2.0,False,False,2023-10-16,2023-10-23,sale,ldp,38333160,2971,1,False,False,324,SG,72,11850,278,227,,
56.0,2200.0,,,,,,2.0,1.0,False,False,2023-10-15,2023-10-22,sale,ldp,37565496,2971,1,False,False,324,SG,72,11850,278,227,,
85.0,3390.0,,,,,,3.0,2.0,False,False,2023-10-16,2023-10-31,sale,ldp,38332669,4613,1,False,False,324,SG,72,11847,9430,227,,
72.0,2800.0,,,,west,,2.0,2.0,False,False,2023-10-15,2023-10-30,sale,ldp,37819662,2971,1,False,False,324,SG,72,11850,278,227,,
59.0,1950.0,,,,,east,2.0,2.0,False,False,2023-10-06,2023-10-21,sale,ldp,36511369,4613,1,False,False,324,SG,72,11847,9430,227,,
123.0,,6.0,7.0,,,,,,False,False,2023-10-13,2023-10-20,sale,ldp,38310111,0,1,False,False,283,SG,72,11847,5257,227,,
72.0,2770.0,,,,,,2.0,2.0,False,False,2023-10-13,2023-10-20,sale,ldp,38314105,2971,1,False,False,324,SG,72,11850,278,227,,
120.0,2300.0,,6.0,,,,,,False,False,2023-10-14,2023-10-21,sale,ldp,38043592,0,1,False,False,283,SG,72,11855,7649,227,,
