area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
105 m²,895 triệu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SỔ HỒNG RIÊNG,N/A,18/10/2023,25/10/2023,Sale,LDP,38352865,0,1,False,False,283,SG,72,11863,5255,227
143 m²,Thỏa thuận,N/A,25 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,14/10/2023,21/10/2023,Sale,LDP,37960068,0,1,False,False,283,SG,72,11856,7649,227
59 m²,45 triệu/m²,N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,Đang chờ sổ,N/A,18/10/2023,28/10/2023,Sale,LDP,38346660,4613,1,False,False,324,SG,72,11847,9430,227
"142,1 m²","1,95 tỷ",6 m,6 m,N/A,Đông - Nam,N/A,N/A,N/A,N/A,N/A,14/10/2023,21/10/2023,Sale,LDP,38261053,0,1,False,False,283,SG,72,11856,5837,227
85 m²,"3,39 tỷ",N/A,N/A,N/A,N/A,N/A,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,09/10/2023,24/10/2023,Sale,LDP,38275139,4613,0,False,False,324,SG,72,11847,9430,227
105 m²,920 triệu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ hồng riêng.,N/A,18/10/2023,25/10/2023,Sale,LDP,38345840,0,1,False,False,283,SG,72,11852,7648,227
120 m²,950 triệu,25 m,8 m,N/A,N/A,N/A,N/A,N/A,Sổ hồng riêng,N/A,18/10/2023,25/10/2023,Sale,LDP,38345790,0,1,False,False,283,SG,72,11849,2544,227
280 m²,Thỏa thuận,10 m,25 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng.,N/A,18/10/2023,25/10/2023,Sale,LDP,38054090,0,1,False,False,283,SG,72,11856,5837,227
118 m²,Thỏa thuận,25 m,8 m,N/A,N/A,N/A,N/A,N/A,Sổ hồng riêng,N/A,17/10/2023,24/10/2023,Sale,LDP,38336886,0,1,False,False,283,SG,72,11854,3970,227
59 m²,"1,9 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,17/10/2023,24/10/2023,Sale,LDP,38342692,4613,1,False,False,324,SG,72,11847,9430,227
59 m²,"2,2 tỷ",N/A,N/A,N/A,Tây - Nam,Đông - Bắc,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,16/10/2023,26/10/2023,Sale,LDP,38329469,4613,1,False,False,324,SG,72,11847,9430,227
79 m²,"3,25 tỷ",N/A,N/A,N/A,Tây - Nam,Đông - Bắc,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,16/10/2023,23/10/2023,Sale,LDP,38333160,2971,1,False,False,324,SG,72,11850,278,227
56 m²,"2,2 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,1 phòng,N/A,N/A,15/10/2023,22/10/2023,Sale,LDP,37565496,2971,1,False,False,324,SG,72,11850,278,227
85 m²,"3,39 tỷ",N/A,N/A,N/A,N/A,N/A,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16/10/2023,31/10/2023,Sale,LDP,38332669,4613,1,False,False,324,SG,72,11847,9430,227
72 m²,"2,8 tỷ",N/A,N/A,N/A,Tây,N/A,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,15/10/2023,30/10/2023,Sale,LDP,37819662,2971,1,False,False,324,SG,72,11850,278,227
59 m²,"1,95 tỷ",N/A,N/A,N/A,N/A,Đông,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản.,06/10/2023,21/10/2023,Sale,LDP,36511369,4613,1,False,False,324,SG,72,11847,9430,227
123 m²,Thỏa thuận,6 m,7 m,N/A,N/A,N/A,N/A,N/A,Sổ hồng riêng,N/A,13/10/2023,20/10/2023,Sale,LDP,38310111,0,1,False,False,283,SG,72,11847,5257,227
72 m²,"2,77 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,13/10/2023,20/10/2023,Sale,LDP,38314105,2971,1,False,False,324,SG,72,11850,278,227
120 m²,"2,3 tỷ",N/A,6 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,14/10/2023,21/10/2023,Sale,LDP,38043592,0,1,False,False,283,SG,72,11855,7649,227
117 m²,Thỏa thuận,N/A,7 m,N/A,N/A,N/A,N/A,N/A,Sổ hồng riêng,N/A,12/10/2023,19/10/2023,Sale,LDP,38303507,0,1,False,False,283,SG,72,11859,12747,227
414 m²,5 tỷ,10 m,N/A,N/A,N/A,N/A,N/A,N/A,Sổ hồng riêng,N/A,06/10/2023,21/10/2023,Sale,LDP,38262210,0,1,False,False,283,SG,72,11855,0,227
89 m²,"2,2 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,09/10/2023,19/10/2023,Sale,LDP,38280889,5880,1,False,False,324,SG,72,11859,1001,227
60 m²,Thỏa thuận,N/A,N/A,N/A,N/A,N/A,2 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,18/10/2023,28/10/2023,Sale,LDP,38350013,4613,3,False,False,324,SG,72,11847,9430,227
56 m²,"2,25 tỷ",N/A,N/A,N/A,Đông - Nam,Tây - Bắc,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản,18/10/2023,25/10/2023,Sale,LDP,37211651,2971,3,False,False,324,SG,72,11850,278,227
