area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
65 m²,3 tỷ,N/A,N/A,N/A,N/A,N/A,2 phòng,1 phòng,N/A,N/A,06/10/2023,21/10/2023,Sale,LDP,38001340,3561,0,False,True,324,SG,65,8866,1001,227
72 m²,Thỏa thuận,N/A,8 m,N/A,N/A,N/A,N/A,N/A,Sổ hồng riêng,N/A,18/10/2023,25/10/2023,Sale,LDP,38345931,0,1,False,False,283,SG,65,12010,4357,227
61 m²,3 tỷ,N/A,N/A,N/A,Tây - Bắc,Đông - Nam,2 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,23/10/2023,30/10/2023,Sale,LDP,38216565,3561,0,False,False,324,SG,65,8866,1001,227
56 m²,"2,29 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,1 phòng,N/A,N/A,18/10/2023,25/10/2023,Sale,LDP,37187371,3561,1,False,False,324,SG,65,8866,1001,227
90 m²,4 tỷ,N/A,N/A,N/A,N/A,N/A,3 phòng,2 phòng,Hợp đồng mua bán,N/A,16/10/2023,23/10/2023,Sale,LDP,38332253,5623,0,False,False,324,SG,65,8866,6000,227
80 m²,"3,5 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,13/10/2023,20/10/2023,Sale,LDP,38313596,3561,0,False,True,324,SG,65,8866,1001,227
61 m²,3 tỷ,N/A,N/A,N/A,N/A,N/A,2 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,16/10/2023,23/10/2023,Sale,LDP,37617088,3561,0,False,False,324,SG,65,8866,1001,227
85 m²,"3,4 tỷ",N/A,N/A,N/A,N/A,N/A,3 phòng,2 phòng,N/A,Đầy đủ,10/10/2023,20/10/2023,Sale,LDP,38288549,5623,0,False,True,324,SG,65,8866,6000,227
85 m²,Thỏa thuận,N/A,8 m,N/A,N/A,N/A,N/A,N/A,Sổ Hồng Riêng,N/A,17/10/2023,24/10/2023,Sale,LDP,38336996,0,1,False,False,283,SG,65,8875,5977,227
75 m²,"2,8 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,Hợp đồng mua bán,"Nội thất tặng thêm: Bàn khách, bộ bàn ghế ăn, tủ chứa đồ và trang trí, tủ tivi, full rèm các cửa, máy lạnh, tủ lạnh, 02 giường tủ quần áo.",17/10/2023,24/10/2023,Sale,LDP,38341693,3561,1,False,False,324,SG,65,8866,1001,227
