area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
44 m²,Thỏa thuận,"5,5 m",6 m,3 tầng,N/A,N/A,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,15/10/2023,22/10/2023,Sale,LDP,38325222,0,3,False,True,41,SG,66,8900,2289,227
300 m²,65 tỷ,N/A,N/A,6 tầng,N/A,N/A,36 phòng,N/A,N/A,N/A,16/10/2023,23/10/2023,Sale,LDP,38330289,0,3,False,False,41,SG,66,8890,2659,227
72 m²,"3,29 tỷ","6,75 m",N/A,3 tầng,N/A,N/A,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,15/10/2023,22/10/2023,Sale,LDP,38228174,0,3,False,True,41,SG,66,8884,505,227
147 m²,87 tỷ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15/10/2023,22/10/2023,Sale,LDP,36690274,84,3,False,True,325,SG,66,8898,2656,227
48 m²,"8,8 tỷ",4 m,5 m,3 tầng,N/A,N/A,9 phòng,9 phòng,N/A,N/A,13/10/2023,28/10/2023,Sale,LDP,38309824,0,3,False,False,41,SG,66,8900,14504,227
149 m²,"8,1 tỷ",N/A,N/A,N/A,Đông - Bắc,Tây - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16/10/2023,23/10/2023,Sale,LDP,38330213,97,3,False,False,324,SG,66,8898,256,227
90 m²,19 tỷ,7 m,N/A,4 tầng,N/A,N/A,5 phòng,6 phòng,N/A,Nội thất cao cấp.,15/10/2023,22/10/2023,Sale,LDP,38325085,0,3,False,True,41,SG,66,8901,146,227
60 m²,"8,25 tỷ",N/A,6 m,3 tầng,N/A,N/A,4 phòng,N/A,N/A,N/A,16/10/2023,23/10/2023,Sale,LDP,38213584,0,3,False,False,41,SG,66,8890,4574,227
54 m²,"3,6 tỷ",N/A,N/A,N/A,N/A,N/A,1 phòng,1 phòng,N/A,Đầy đủ,16/10/2023,23/10/2023,Sale,LDP,38259626,1883,3,False,False,324,SG,66,8898,256,227
186 m²,78 tỷ,N/A,N/A,6 tầng,N/A,N/A,10 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16/10/2023,23/10/2023,Sale,LDP,38330293,0,3,False,False,163,SG,66,8900,14504,227
"63,5 m²","8,45 tỷ",N/A,N/A,4 tầng,Đông - Bắc,N/A,6 phòng,7 phòng,N/A,N/A,13/10/2023,23/10/2023,Sale,LDP,36597636,0,3,False,False,41,SG,66,8889,382,227
400 m²,40 tỷ,N/A,N/A,7 tầng,N/A,N/A,6 phòng,5 phòng,N/A,N/A,14/10/2023,21/10/2023,Sale,LDP,38322842,0,3,False,True,163,SG,66,8889,1530,227
51 m²,Thỏa thuận,"4,5 m",6 m,4 tầng,N/A,N/A,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,14/10/2023,21/10/2023,Sale,LDP,38321346,0,3,False,True,41,SG,66,8885,1530,227
"48,8 m²","8,3 tỷ","4,5 m",4 m,5 tầng,N/A,N/A,8 phòng,8 phòng,Sổ đỏ/ Sổ hồng,N/A,13/10/2023,20/10/2023,Sale,LDP,37871095,0,3,False,True,41,SG,66,8892,1530,227
"366,3 m²",45 tỷ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,592,13/10/2023,20/10/2023,Sale,LDP,37956476,0,3,False,True,163,SG,66,8892,1530,227
80 m²,"5,9 tỷ",N/A,N/A,N/A,Nam,Bắc,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,22/10/2023,06/11/2023,Sale,LDP,37834299,1883,3,False,False,324,SG,66,8898,256,227
45 m²,"2,15 tỷ",N/A,N/A,N/A,Đông - Bắc,Tây,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,14/10/2023,21/10/2023,Sale,LDP,38318869,0,3,False,True,324,SG,66,8902,4595,227
65 m²,"9,45 tỷ",N/A,N/A,7 tầng,N/A,N/A,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,13/10/2023,20/10/2023,Sale,LDP,38314732,0,3,False,True,41,SG,66,8884,4528,227
100 m²,"7,8 tỷ",N/A,N/A,N/A,Đông - Bắc,Tây - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,N/A,21/10/2023,05/11/2023,Sale,LDP,36990506,1883,3,False,False,324,SG,66,8898,256,227
120 m²,8 tỷ,N/A,N/A,N/A,N/A,N/A,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,20/10/2023,27/10/2023,Sale,LDP,28996754,1883,1,False,False,324,SG,66,8898,256,227
27 m²,"2,8 tỷ",N/A,2 m,2 tầng,N/A,N/A,2 phòng,2 phòng,N/A,N/A,13/10/2023,20/10/2023,Sale,LDP,38313436,0,3,False,True,41,SG,66,8884,505,227
85 m²,"4,85 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,12/10/2023,19/10/2023,Sale,LDP,28947032,1883,3,False,True,324,SG,66,8898,256,227
"60,2 m²",16 tỷ,"4,15 m",N/A,4 tầng,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,Đầy đủ,17/10/2023,27/10/2023,Sale,LDP,38340907,0,3,False,False,163,SG,66,8894,2070,227
65 m²,"8,5 tỷ",N/A,N/A,5 tầng,N/A,N/A,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,17/10/2023,24/10/2023,Sale,LDP,38339687,0,3,False,False,41,SG,66,8884,505,227
62 m²,"2,4 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17/10/2023,01/11/2023,Sale,LDP,38338880,0,3,False,False,324,SG,66,8900,14504,227
46 m²,"7,9 tỷ","4,7 m",4 m,5 tầng,Đông - Bắc,N/A,6 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,17/10/2023,24/10/2023,Sale,LDP,38340357,0,3,False,False,41,SG,66,8900,2289,227
132 m²,26 tỷ,6 m,N/A,5 tầng,N/A,N/A,N/A,N/A,Có sổ.,N/A,17/10/2023,27/10/2023,Sale,LDP,38338990,0,3,False,False,163,SG,66,8892,382,227
106 m²,"9,1 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,13/10/2023,28/10/2023,Sale,LDP,35628445,2725,3,False,False,324,SG,66,8898,2656,227
521 m²,160 tỷ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17/10/2023,27/10/2023,Sale,LDP,37546470,0,3,False,False,163,SG,66,8900,2289,227
938 m²,54 tỷ,N/A,N/A,4 tầng,N/A,N/A,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,N/A,16/10/2023,23/10/2023,Sale,LDP,36672093,0,3,False,False,41,SG,66,8902,4599,227
86 m²,"4,5 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,10/10/2023,25/10/2023,Sale,LDP,37403687,1883,3,False,False,324,SG,66,8898,256,227
83 m²,"5,1 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,22/10/2023,06/11/2023,Sale,LDP,36345893,1883,3,False,False,324,SG,66,8898,256,227
88 m²,"6,9 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16/10/2023,23/10/2023,Sale,LDP,38207441,1883,3,False,False,324,SG,66,8898,256,227
48 m²,"5,7 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,N/A,N/A,N/A,16/10/2023,23/10/2023,Sale,LDP,38333778,0,3,False,False,41,SG,66,8891,2100,227
322 m²,46 tỷ,N/A,N/A,2 tầng,N/A,N/A,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,N/A,16/10/2023,26/10/2023,Sale,LDP,38069541,0,3,True,False,163,SG,66,8901,2070,227
189 m²,53 tỷ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,Đầy đủ,16/10/2023,23/10/2023,Sale,LDP,37931497,0,3,False,False,163,SG,66,8887,741,227
"47,6 m²","11,9 tỷ",N/A,N/A,3 tầng,Tây - Bắc,N/A,7 phòng,9 phòng,Sổ đỏ/ Sổ hồng,N/A,16/10/2023,23/10/2023,Sale,LDP,38017998,0,3,False,False,163,SG,66,8885,725,227
120 m²,"8,1 tỷ",N/A,N/A,N/A,N/A,N/A,3 phòng,2 phòng,N/A,N/A,22/10/2023,06/11/2023,Sale,LDP,36345826,1883,3,False,False,324,SG,66,8898,256,227
80 m²,18 tỷ,5 m,8 m,8 tầng,N/A,N/A,15 phòng,15 phòng,N/A,N/A,18/10/2023,25/10/2023,Sale,LDP,37664660,0,3,False,False,41,SG,66,8887,792,227
"36,5 m²","6,6 tỷ",N/A,N/A,3 tầng,N/A,N/A,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,18/10/2023,25/10/2023,Sale,LDP,38352569,0,3,True,False,41,SG,66,8887,2659,227
42 m²,"6,3 tỷ",6 m,4 m,4 tầng,Đông,Đông,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,18/10/2023,25/10/2023,Sale,LDP,38169118,0,3,False,False,41,SG,66,8899,907,227
40 m²,"8,3 tỷ","4,6 m",6 m,4 tầng,Đông - Nam,Đông - Nam,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,18/10/2023,25/10/2023,Sale,LDP,38260405,0,3,False,False,41,SG,66,8886,2659,227
