area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
"273,9 m²",11 triệu/m²,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,13/10/2023,23/10/2023,Sale,LDP,33237647,0,5,False,False,283,SG,73,145,7873,227
4.713 m²,Thỏa thuận,"38,8 m",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18/10/2023,28/10/2023,Sale,LDP,33093112,0,5,False,False,283,SG,73,144,3551,227
2.073 m²,35 tỷ,"28,4 m",N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,27/10/2023,Sale,LDP,33734776,0,5,False,False,283,SG,73,149,5610,227
260 m²,"6,8 tỷ","8,25 m",N/A,3 tầng,N/A,N/A,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,27/10/2023,Sale,LDP,35655015,3191,5,False,False,325,SG,73,149,3551,227
"277,6 m²",16 triệu/m²,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,15/10/2023,25/10/2023,Sale,LDP,33602828,0,5,False,False,283,SG,73,145,7873,227
150 m²,"1,87 tỷ",5 m,16 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng.,N/A,13/10/2023,23/10/2023,Sale,LDP,37913605,0,5,False,False,283,SG,73,144,5607,227
"1.051,3 m²","15,5 tỷ",N/A,30 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,12/10/2023,22/10/2023,Sale,LDP,38080454,0,5,False,False,283,SG,73,149,0,227
1.000 m²,"1,9 triệu/m²",27 m,7 m,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13/10/2023,23/10/2023,Sale,LDP,32451647,0,5,False,False,283,SG,73,146,11695,227
2.997 m²,25 triệu/m²,28 m,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,27/10/2023,Sale,LDP,37788926,0,5,False,False,283,SG,73,144,5607,227
150 m²,Thỏa thuận,N/A,20 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng.,N/A,17/10/2023,27/10/2023,Sale,LDP,38062077,0,5,False,False,283,SG,73,144,6215,227
1.372 m²,20 triệu/m²,50 m,5 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,27/10/2023,Sale,LDP,34577886,0,5,False,False,283,SG,73,144,5599,227
"273,9 m²",Thỏa thuận,20 m,16 m,N/A,N/A,N/A,N/A,N/A,Đã có sổ,N/A,17/10/2023,27/10/2023,Sale,LDP,36832837,0,5,False,False,283,SG,73,145,7873,227
1.003 m²,3 tỷ,17 m,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,27/10/2023,Sale,LDP,38080044,0,5,False,False,283,SG,73,145,5611,227
200 m²,"2,3 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,27/10/2023,Sale,LDP,38033909,0,5,False,False,283,SG,73,144,5607,227
110 m²,3 tỷ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hợp đồng mua bán.,N/A,17/10/2023,27/10/2023,Sale,LDP,36565731,3191,5,False,False,40,SG,73,149,3551,227
550 m²,9 triệu/m²,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hợp đồng mua bán,N/A,17/10/2023,27/10/2023,Sale,LDP,37717168,3191,5,False,False,40,SG,73,149,3551,227
3.850 m²,"5,5 triệu/m²",34 m,12 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,16/11/2023,Sale,LDP,36848748,0,5,False,False,283,SG,73,147,6539,227
"134,7 m²","1,75 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,12/10/2023,22/10/2023,Sale,LDP,36624655,0,5,False,False,283,SG,73,144,3551,227
5.200 m²,"4,8 triệu/m²",42 m,12 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,16/11/2023,Sale,LDP,25730382,0,5,False,False,283,SG,73,147,6539,227
10.000 m²,"2,2 triệu/m²",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,27/10/2023,Sale,LDP,38145491,0,5,False,False,283,SG,73,148,8635,227
1.042 m²,7 tỷ,20 m,60 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,16/11/2023,Sale,LDP,38336547,0,5,False,False,283,SG,73,145,5611,227
2.288 m²,"3,2 triệu/m²",26 m,10 m,N/A,Bắc,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,27/10/2023,Sale,LDP,37567221,0,5,False,False,283,SG,73,147,0,227
564 m²,20 triệu/m²,14 m,8 m,N/A,Tây,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,15/10/2023,25/10/2023,Sale,LDP,38326546,0,5,False,False,283,SG,73,145,11018,227
99 m²,"1,9 tỷ",5 m,6 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,27/10/2023,Sale,LDP,38336968,0,5,False,False,283,SG,73,149,3551,227
544 m²,10 tỷ,16 m,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,16/11/2023,Sale,LDP,37534503,0,5,False,False,283,SG,73,145,7851,227
124 m²,Thỏa thuận,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16/10/2023,26/10/2023,Sale,LDP,38333755,0,5,False,False,283,SG,73,145,5611,227
17.000 m²,185 tỷ,116 m,8 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,16/11/2023,Sale,LDP,38068216,0,5,False,False,283,SG,73,149,5609,227
702 m²,16 triệu/m²,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16/10/2023,26/10/2023,Sale,LDP,38334583,5789,5,False,False,40,SG,73,149,6403,227
30 m²,890 triệu,"3,6 m",5 m,2 tầng,N/A,N/A,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,N/A,21/09/2023,21/10/2023,Sale,LDP,38152701,0,5,False,False,41,SG,73,146,13219,227
"260,1 m²","7,2 tỷ",N/A,N/A,N/A,Tây - Bắc,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,16/10/2023,26/10/2023,Sale,LDP,36487673,3191,5,False,False,163,SG,73,149,11207,227
2.410 m²,Thỏa thuận,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,16/10/2023,26/10/2023,Sale,LDP,38329345,0,5,False,False,283,SG,73,148,8635,227
"2.528,2 m²",53 tỷ,"36,3 m",22 m,N/A,Đông - Nam,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,16/10/2023,26/10/2023,Sale,LDP,37631087,0,5,False,False,283,SG,73,149,5607,227
5.500 m²,Thỏa thuận,36 m,8 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,16/10/2023,26/10/2023,Sale,LDP,36993180,0,5,False,False,283,SG,73,145,7851,227
"2.022,8 m²","22,5 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09/10/2023,19/10/2023,Sale,LDP,38279226,0,5,False,False,283,SG,73,144,5607,227
14.000 m²,5 triệu/m²,8 m,30 m,N/A,Đông,N/A,N/A,N/A,Sổ đỏ/ sổ hồng,N/A,16/10/2023,26/10/2023,Sale,LDP,37367245,0,5,False,False,283,SG,73,146,5611,227
1.051 m²,"15,2 tỷ",N/A,20 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,09/10/2023,19/10/2023,Sale,LDP,38279045,0,5,False,False,283,SG,73,149,0,227
16.571 m²,42 tỷ,250 m,71 m,N/A,N/A,N/A,N/A,N/A,Sổ Hồng. Công Chứng Ngay.,N/A,16/10/2023,26/10/2023,Sale,LDP,38171313,0,5,False,False,283,SG,73,147,8574,227
2.000 m²,15 triệu/m²,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,16/10/2023,26/10/2023,Sale,LDP,38328580,0,5,False,False,283,SG,73,148,8635,227
1.500 m²,"5,5 tỷ","18,2 m",N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,21/09/2023,21/10/2023,Sale,LDP,38153093,0,5,False,False,283,SG,73,146,5612,227
1.492 m²,13 tỷ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,18/10/2023,28/10/2023,Sale,LDP,38348096,0,5,False,False,283,SG,73,145,5611,227
907 m²,"13,6 tỷ","13,2 m",6 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,18/10/2023,02/11/2023,Sale,LDP,38349146,0,5,False,False,283,SG,73,149,5609,227
