area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
80 m²,"10,7 tỷ",N/A,8 m,3 tầng,N/A,N/A,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,12/10/2023,22/10/2023,Sale,LDP,38305349,0,5,False,True,41,SG,67,8942,366,227
105 m²,"7,2 tỷ",7 m,"3,5 m",2 tầng,Bắc,Bắc,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,04/10/2023,19/10/2023,Sale,LDP,38243025,0,3,False,True,41,SG,67,8943,366,227
121 m²,"8,4 tỷ","4,2 m",6 m,5 tầng,N/A,N/A,15 phòng,15 phòng,N/A,N/A,20/10/2023,30/10/2023,Sale,LDP,38093044,0,5,False,False,41,SG,67,8950,650,227
230 m²,35 tỷ,N/A,30 m,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09/10/2023,19/10/2023,Sale,LDP,38168786,2409,3,False,True,325,SG,67,8942,382,227
114 m²,"4,8 tỷ","4,01 m",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20/10/2023,30/10/2023,Sale,LDP,38300585,0,5,False,False,41,SG,67,8948,795,227
120 m²,"7,7 tỷ",4 m,6 m,3 tầng,N/A,N/A,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,17/10/2023,27/10/2023,Sale,LDP,38262438,0,5,False,False,41,SG,67,8940,3631,227
"73,9 m²","6,8 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04/10/2023,19/10/2023,Sale,LDP,38083888,0,3,False,True,41,SG,67,8938,4706,227
90 m²,"10,3 tỷ",N/A,N/A,4 tầng,N/A,N/A,4 phòng,5 phòng,Sổ hồng riêng chính chủ.,Nội thất có giường đầy đủ toàn bộ căm xe.,11/10/2023,26/10/2023,Sale,LDP,37254157,0,3,False,False,41,SG,67,8948,650,227
72 m²,"8,3 tỷ",4 m,10 m,1 tầng,Đông - Bắc,Đông - Bắc,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,N/A,20/10/2023,30/10/2023,Sale,LDP,38136412,0,5,False,False,41,SG,67,8939,382,227
"88,4 m²","8,5 tỷ","5,2 m",5 m,2 tầng,Đông - Nam,N/A,3 phòng,3 phòng,Đã có sổ hồng,Cơ bản,12/10/2023,19/10/2023,Sale,LDP,38209089,0,3,False,True,41,SG,67,8942,366,227
72 m²,"6,9 tỷ",6 m,7 m,2 tầng,Tây - Nam,Tây - Nam,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,23/10/2023,02/11/2023,Sale,LDP,37636268,0,5,False,False,41,SG,67,8938,2023,227
53 m²,"2,1 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18/10/2023,28/10/2023,Sale,LDP,32563989,2944,5,False,False,324,SG,67,8948,650,227
180 m²,26 tỷ,"8,5 m",17 m,3 tầng,N/A,N/A,6 phòng,6 phòng,N/A,N/A,18/10/2023,28/10/2023,Sale,LDP,38351338,0,5,False,False,163,SG,67,8934,792,227
236 m²,19 tỷ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14/10/2023,24/10/2023,Sale,LDP,38318886,0,5,False,False,325,SG,67,8937,836,227
550 m²,110 tỷ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14/10/2023,24/10/2023,Sale,LDP,37990978,0,5,False,False,163,SG,67,8935,1433,227
66 m²,"136,36 triệu/m²",N/A,N/A,4 tầng,N/A,N/A,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,18/10/2023,28/10/2023,Sale,LDP,38347633,0,5,False,False,41,SG,67,8938,382,227
62 m²,"1,97 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,05/10/2023,20/10/2023,Sale,LDP,36239834,2094,3,False,True,324,SG,67,8946,4713,227
60 m²,"7,4 tỷ",5 m,6 m,3 tầng,N/A,N/A,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,17/10/2023,27/10/2023,Sale,LDP,38202214,0,3,False,False,41,SG,67,8938,382,227
336 m²,33 tỷ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16/10/2023,26/10/2023,Sale,LDP,38209263,0,5,False,False,163,SG,67,8935,338,227
