area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
2.080 m²,"7,5 triệu/m²",37 m,12 m,N/A,Đông - Bắc,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,09/10/2023,19/10/2023,Sale,LDP,36652972,0,3,False,True,283,SG,75,171,10206,227
270 m²,14 tỷ,5 m,10 m,1 tầng,Tây - Bắc,Tây - Bắc,18 phòng,N/A,Sổ đỏ/ Sổ hồng,Đầy đủ,16/10/2023,23/10/2023,Sale,LDP,38328475,0,3,False,False,41,SG,75,173,5661,227
123 m²,3 tỷ,5 m,8 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,24/10/2023,Sale,LDP,38344700,0,1,False,False,283,SG,75,177,6616,227
210 m²,"4,4 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17/10/2023,24/10/2023,Sale,LDP,38338653,0,3,True,False,283,SG,75,171,0,227
250 m²,"16,5 tỷ",9 m,7 m,1 tầng,Nam,Nam,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,14/10/2023,21/10/2023,Sale,LDP,37595805,0,3,False,True,41,SG,75,172,9887,227
530 m²,"13,5 tỷ",18 m,12 m,N/A,N/A,N/A,N/A,N/A,Sổ hồng,N/A,18/10/2023,28/10/2023,Sale,LDP,35604657,0,5,False,False,283,SG,75,176,9425,227
48 m²,600 triệu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06/10/2023,21/10/2023,Sale,LDP,38259888,0,0,False,True,41,SG,75,174,5624,227
8.200 m²,135 tỷ,60 m,30 m,N/A,N/A,N/A,N/A,5 phòng,Sổ đỏ/ Sổ hồng,N/A,18/10/2023,28/10/2023,Sale,LDP,33912145,0,5,False,False,45,SG,75,177,5783,227
350 m²,"11,5 tỷ",10 m,12 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,18/10/2023,28/10/2023,Sale,LDP,37965535,0,5,False,False,283,SG,75,178,11166,227
400 m²,11 tỷ,10 m,12 m,4 tầng,Bắc,Bắc,16 phòng,16 phòng,Sổ hồng,Cao cấp,16/10/2023,26/10/2023,Sale,LDP,38247573,0,5,False,False,163,SG,75,181,10282,227
