area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
95 m²,"3,2 tỷ",N/A,N/A,N/A,Nam,N/A,N/A,N/A,Hợp đồng mua bán.,N/A,17/10/2023,01/11/2023,Sale,LDP,38339793,2896,3,False,False,40,SG,76,188,12287,227
76 m²,"1,85 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,N/A,16/10/2023,23/10/2023,Sale,LDP,38330558,3290,3,False,True,324,SG,76,190,394,227
100 m²,"3,5 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09/10/2023,24/10/2023,Sale,LDP,38200180,2896,3,False,False,40,SG,76,188,12287,227
"162,5 m²","20,11 tỷ",N/A,N/A,N/A,Đông - Bắc,Đông - Bắc,3 phòng,3 phòng,N/A,Thô,17/10/2023,24/10/2023,Sale,LDP,37382207,5308,3,False,False,324,SG,76,187,458,227
129 m²,"2,8 tỷ",N/A,N/A,N/A,Tây,Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,N/A,13/10/2023,28/10/2023,Sale,LDP,34258783,123,3,False,False,324,SG,76,187,458,227
168 m²,"7,2 tỷ",7 m,40 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,24/10/2023,Sale,LDP,38084381,2896,3,False,False,40,SG,76,188,12287,227
52 m²,"1,49 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,1 phòng,N/A,Cơ bản,23/10/2023,30/10/2023,Sale,LDP,34532946,1366,3,False,False,324,SG,76,187,458,227
"82,5 m²","5,3 tỷ",N/A,40 m,3 tầng,Bắc,Bắc,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,24/10/2023,Sale,LDP,38341450,2185,3,False,False,163,SG,76,189,16681,227
168 m²,"7,3 tỷ",7 m,30 m,N/A,Bắc,N/A,N/A,N/A,Hợp đồng mua bán.,N/A,16/10/2023,23/10/2023,Sale,LDP,38096736,2896,3,False,True,40,SG,76,188,12287,227
143 m²,16 tỷ,N/A,N/A,2 tầng,Đông,N/A,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,N/A,22/10/2023,29/10/2023,Sale,LDP,33063760,0,3,False,False,163,SG,76,187,314,227
