area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
486 m²,49 tỷ,27 m,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ,N/A,18/10/2023,28/10/2023,Sale,LDP,37450090,0,5,False,False,283,SG,68,8958,741,227
98 m²,18 tỷ,N/A,N/A,4 tầng,N/A,N/A,N/A,N/A,Sổ hồng.,Đầy đủ.,18/10/2023,28/10/2023,Sale,LDP,38346816,0,5,False,False,41,SG,68,8967,4826,227
54 m²,Thỏa thuận,N/A,N/A,3 tầng,N/A,N/A,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,18/10/2023,28/10/2023,Sale,LDP,38352419,0,5,False,False,41,SG,68,8970,4826,227
"112,5 m²",36 tỷ,"7,5 m",N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,26/10/2023,05/11/2023,Sale,LDP,37542072,0,5,False,False,163,SG,68,8965,341,227
48 m²,Thỏa thuận,N/A,6 m,3 tầng,N/A,N/A,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,N/A,18/10/2023,28/10/2023,Sale,LDP,37831558,0,5,False,False,41,SG,68,8962,741,227
60 m²,Thỏa thuận,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,18/10/2023,28/10/2023,Sale,LDP,38172550,0,5,False,False,283,SG,68,8964,4705,227
72 m²,"12,8 tỷ",N/A,15 m,3 tầng,N/A,N/A,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,10/10/2023,20/10/2023,Sale,LDP,37851049,0,5,False,True,41,SG,68,8959,537,227
"35,9 m²","3,55 tỷ",N/A,N/A,3 tầng,N/A,N/A,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,17/10/2023,27/10/2023,Sale,LDP,38262360,0,5,False,False,41,SG,68,8967,4826,227
130 m²,7 tỷ,N/A,N/A,N/A,Tây - Bắc,Đông - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16/10/2023,31/10/2023,Sale,LDP,38328804,1042,5,False,False,324,SG,68,8955,741,227
130 m²,32 tỷ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17/10/2023,27/10/2023,Sale,LDP,37713710,0,5,False,False,163,SG,68,8956,991,227
65 m²,"9,9 tỷ",N/A,6 m,4 tầng,N/A,N/A,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,18/10/2023,28/10/2023,Sale,LDP,38352469,0,5,False,False,41,SG,68,8962,0,227
"51,8 m²",Thỏa thuận,N/A,N/A,2 tầng,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,Đầy đủ,18/10/2023,28/10/2023,Sale,LDP,38186189,0,5,False,False,41,SG,68,8972,346,227
121 m²,"7,8 tỷ",N/A,N/A,N/A,N/A,N/A,3 phòng,2 phòng,N/A,N/A,26/10/2023,10/11/2023,Sale,LDP,38168143,2123,5,False,False,324,SG,68,8963,337,227
300 m²,70 tỷ,N/A,N/A,7 tầng,N/A,N/A,16 phòng,16 phòng,Sổ đỏ/ Sổ hồng,166NĐC,18/10/2023,28/10/2023,Sale,LDP,38066037,0,5,False,False,163,SG,68,8964,341,227
41 m²,"4,95 tỷ",N/A,N/A,4 tầng,N/A,N/A,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,15/10/2023,25/10/2023,Sale,LDP,38326379,0,5,False,True,41,SG,68,8972,752,227
75 m²,"5,5 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,26/10/2023,10/11/2023,Sale,LDP,38168192,1183,5,False,False,324,SG,68,8968,341,227
58 m²,"5,5 tỷ",N/A,N/A,3 tầng,N/A,N/A,4 phòng,N/A,N/A,N/A,18/10/2023,28/10/2023,Sale,LDP,33762381,0,5,False,False,41,SG,68,8971,997,227
40 m²,Thỏa thuận,4 m,12 m,2 tầng,N/A,N/A,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,N/A,11/10/2023,21/10/2023,Sale,LDP,37005361,0,5,False,True,41,SG,68,8959,537,227
70 m²,Thỏa thuận,N/A,N/A,3 tầng,N/A,N/A,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,N/A,18/10/2023,28/10/2023,Sale,LDP,37780213,0,5,False,False,41,SG,68,8956,5936,227
58 m²,"8,2 tỷ",N/A,N/A,2 tầng,N/A,N/A,4 phòng,4 phòng,N/A,N/A,10/10/2023,20/10/2023,Sale,LDP,38288046,0,5,False,True,41,SG,68,8967,1618,227
118 m²,"15,5 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ.,Đầy đủ.,18/10/2023,28/10/2023,Sale,LDP,38353172,0,5,False,False,41,SG,68,8962,991,227
80 m²,"21,5 tỷ",N/A,N/A,3 tầng,N/A,N/A,5 phòng,6 phòng,N/A,N/A,13/10/2023,23/10/2023,Sale,LDP,38309051,0,5,False,True,41,SG,68,8956,4838,227
