area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId,createByUser,productType
105 m²,28 tỷ,N/A,N/A,4 tầng,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,29/10/2023,08/11/2023,Sale,LDP,38155053,0,5,False,True,163,SG,69,8980,1759,227,1133299,38
98 m²,"6,8 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16/10/2023,26/10/2023,Sale,LDP,38329851,0,3,False,True,163,SG,69,8990,6066,227,387510,38
125 m²,"26,5 tỷ",N/A,N/A,4 tầng,N/A,N/A,8 phòng,8 phòng,N/A,N/A,16/10/2023,23/10/2023,Sale,LDP,38335144,0,3,False,True,163,SG,69,8991,827,227,1869392,38
110 m²,"24,5 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08/12/2023,18/12/2023,Sale,LDP,35193555,0,5,False,False,163,SG,69,8987,2771,227,664939,38
80 m²,"4,28 tỷ",N/A,N/A,N/A,Tây - Nam,Đông - Bắc,2 phòng,2 phòng,Đang chờ sổ,Đầy đủ,16/10/2023,23/10/2023,Sale,LDP,38324866,2047,3,False,True,324,SG,69,8976,4831,227,785922,38
40 m²,"8,6 tỷ",5 m,N/A,2 tầng,Đông - Nam,N/A,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16/10/2023,26/10/2023,Sale,LDP,38332919,0,3,False,True,163,SG,69,8982,4891,227,337719,38
130 m²,"31,9 tỷ",9 m,N/A,4 tầng,N/A,N/A,6 phòng,5 phòng,N/A,N/A,04/12/2023,14/12/2023,Sale,LDP,38332027,0,5,False,True,41,SG,69,8976,4830,227,1456766,38
115 m²,"28,5 tỷ",N/A,N/A,4 tầng,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,04/12/2023,14/12/2023,Sale,LDP,34901149,0,5,False,True,163,SG,69,8976,527,227,1133299,38
50 m²,Thỏa thuận,N/A,5 m,N/A,N/A,N/A,N/A,N/A,Sổ hồng.,N/A,07/12/2023,22/12/2023,Sale,LDP,36990684,0,5,False,False,41,SG,69,8980,11301,227,1348821,38
220 m²,28 tỷ,12 m,N/A,6 tầng,N/A,N/A,6 phòng,6 phòng,N/A,N/A,25/11/2023,05/12/2023,Sale,LDP,38321031,0,5,False,True,163,SG,69,8976,4831,227,1630822,38
58 m²,850 triệu,N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,06/12/2023,13/12/2023,Sale,LDP,37480387,0,3,False,True,324,SG,69,8991,727,227,394986,38
170 m²,"27,5 tỷ",N/A,N/A,6 tầng,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng.,N/A,01/12/2023,08/12/2023,Sale,LDP,37703887,0,3,False,True,163,SG,69,8987,902,227,1846358,38
160 m²,"26,9 tỷ","6,5 m",N/A,2 tầng,N/A,N/A,6 phòng,6 phòng,N/A,N/A,25/11/2023,05/12/2023,Sale,LDP,38321088,0,5,False,True,163,SG,69,8987,792,227,1630822,38
135 m²,"11,5 tỷ","4,7 m",N/A,N/A,N/A,N/A,7 phòng,N/A,Sổ đỏ/ Sổ hồng,N/A,14/10/2023,21/10/2023,Sale,LDP,38319382,0,3,False,True,41,SG,69,8985,621,227,1892300,38
62 m²,7 tỷ,N/A,6 m,N/A,N/A,N/A,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,N/A,13/10/2023,20/10/2023,Sale,LDP,38314509,0,3,False,True,41,SG,69,8984,621,227,2269488,38
50 m²,"5,1 tỷ",4 m,4 m,4 tầng,Tây - Bắc,Tây - Bắc,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ, tủ âm tường, máy lạnh.",19/11/2023,29/11/2023,Sale,LDP,37202883,0,5,False,True,41,SG,69,8991,6024,227,558592,38
110 m²,"13,5 tỷ",7 m,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10/11/2023,17/11/2023,Sale,LDP,38306117,0,3,False,True,41,SG,69,8987,902,227,392159,38
140 m²,"21,8 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,Đầy đủ,12/10/2023,19/10/2023,Sale,LDP,38304559,0,3,False,True,41,SG,69,8982,1759,227,1267541,38
21 m²,"2,5 tỷ",3 m,5 m,1 tầng,N/A,N/A,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,N/A,15/11/2023,25/11/2023,Sale,LDP,35873400,0,5,False,True,41,SG,69,8984,778,227,814927,38
80 m²,13 tỷ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14/11/2023,21/11/2023,Sale,LDP,38236126,0,3,False,True,163,SG,69,8987,7977,227,392159,38
45 m²,"5,5 tỷ",N/A,N/A,4 tầng,N/A,N/A,4 phòng,5 phòng,N/A,N/A,03/11/2023,13/11/2023,Sale,LDP,38306633,0,5,False,True,41,SG,69,8985,4981,227,2537974,38
78 m²,"16,9 tỷ",N/A,6 m,3 tầng,N/A,N/A,4 phòng,5 phòng,Sổ đỏ chính chủ,N/A,01/12/2023,16/12/2023,Sale,LDP,37487181,0,3,False,False,41,SG,69,8978,3775,227,2417860,38
220 m²,60 tỷ,10 m,N/A,3 tầng,N/A,N/A,N/A,N/A,N/A,N/A,06/11/2023,16/11/2023,Sale,LDP,38289164,0,5,False,True,163,SG,69,8976,1094,227,664939,38
95 m²,Thỏa thuận,N/A,N/A,N/A,N/A,N/A,5 phòng,N/A,Sổ đỏ.,N/A,14/12/2023,24/12/2023,Sale,LDP,37654576,0,5,False,False,41,SG,69,8991,831,227,1892213,38
98 m²,Thỏa thuận,N/A,N/A,N/A,N/A,N/A,5 phòng,N/A,N/A,N/A,04/11/2023,14/11/2023,Sale,LDP,37852664,0,5,False,True,41,SG,69,8976,4921,227,1892213,38
84 m²,"9,6 tỷ",N/A,8 m,5 tầng,N/A,N/A,5 phòng,N/A,Sổ đỏ.,N/A,04/11/2023,14/11/2023,Sale,LDP,37748812,0,5,False,True,41,SG,69,8991,6024,227,1892213,38
135 m²,"8,75 tỷ",N/A,N/A,3 tầng,N/A,N/A,7 phòng,N/A,Sổ hồng riêng,N/A,18/10/2023,28/10/2023,Sale,LDP,37630049,0,5,False,True,41,SG,69,8989,3775,227,1892213,38
56 m²,"5,4 tỷ",N/A,N/A,N/A,N/A,N/A,1 phòng,N/A,N/A,N/A,18/10/2023,28/10/2023,Sale,LDP,37706019,0,5,False,True,41,SG,69,8987,902,227,1892213,38
108 m²,Thỏa thuận,N/A,N/A,N/A,N/A,N/A,6 phòng,N/A,N/A,N/A,18/10/2023,28/10/2023,Sale,LDP,37538854,0,5,False,True,41,SG,69,8978,2564,227,1892213,38
64 m²,"5,5 tỷ",N/A,N/A,3 tầng,N/A,N/A,4 phòng,N/A,Sổ hồng riêng,N/A,13/11/2023,23/11/2023,Sale,LDP,37957626,0,5,False,True,41,SG,69,8985,1902,227,1892213,38
78 m²,"10,9 tỷ",N/A,N/A,4 tầng,N/A,N/A,4 phòng,N/A,Sổ đỏ/ Sổ hồng,Đầy đủ,18/10/2023,28/10/2023,Sale,LDP,38075264,0,5,False,True,41,SG,69,8990,318,227,2323638,38
56 m²,"7,5 tỷ",N/A,N/A,3 tầng,N/A,N/A,4 phòng,N/A,Sổ hồng,N/A,08/12/2023,18/12/2023,Sale,LDP,37586518,0,5,False,False,41,SG,69,8985,1902,227,1892213,38
27 m²,"2,75 tỷ",N/A,N/A,2 tầng,N/A,N/A,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,N/A,16/10/2023,26/10/2023,Sale,LDP,38331090,0,5,False,True,41,SG,69,8985,778,227,2528196,38
100 m²,"19,8 tỷ",5 m,N/A,5 tầng,N/A,N/A,N/A,N/A,N/A,N/A,03/11/2023,13/11/2023,Sale,LDP,38213935,0,5,False,True,163,SG,69,8976,1600,227,2388763,38
68 m²,"8,9 tỷ",4 m,N/A,4 tầng,N/A,N/A,4 phòng,4 phòng,Sổ hồng,N/A,27/10/2023,06/11/2023,Sale,LDP,38063669,0,5,False,True,41,SG,69,8990,0,227,2481363,38
69 m²,"7,2 tỷ",N/A,N/A,3 tầng,N/A,N/A,3 phòng,N/A,Đã có sổ,N/A,18/10/2023,28/10/2023,Sale,LDP,37928887,0,5,False,True,41,SG,69,8987,4974,227,2216997,38
48 m²,"6,85 tỷ",N/A,3 m,3 tầng,N/A,N/A,3 phòng,2 phòng,Đã có sổ,Cơ bản,18/10/2023,17/11/2023,Sale,LDP,37697184,0,5,False,True,41,SG,69,8984,778,227,2440424,38
51 m²,"6,9 tỷ","3,96 m",N/A,4 tầng,N/A,N/A,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,20/10/2023,30/10/2023,Sale,LDP,38266596,0,5,False,True,41,SG,69,8986,621,227,2510789,38
60 m²,"7,6 tỷ",4 m,5 m,4 tầng,N/A,N/A,4 phòng,4 phòng,"Pháp lí minh bạch, rõ ràng, công chứng ngay.",N/A,16/10/2023,26/10/2023,Sale,LDP,38335284,0,5,False,True,41,SG,69,8985,4981,227,2508337,38
64 m²,"7,8 tỷ",N/A,N/A,3 tầng,N/A,N/A,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16/10/2023,26/10/2023,Sale,LDP,38330873,0,5,False,True,41,SG,69,8987,6004,227,2508337,38
57 m²,"9,2 tỷ",N/A,N/A,5 tầng,N/A,N/A,8 phòng,5 phòng,N/A,Đầy đủ,17/10/2023,27/10/2023,Sale,LDP,38338464,0,5,True,True,41,SG,69,8987,792,227,2531362,38
56 m²,"4,4 tỷ",N/A,4 m,2 tầng,N/A,N/A,2 phòng,N/A,Sổ đỏ/ Sổ hồng,Đầy đủ,07/11/2023,17/11/2023,Sale,LDP,38251710,0,5,True,True,41,SG,69,8983,621,227,2531362,38
150 m²,51 tỷ,N/A,N/A,7 tầng,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,18/10/2023,28/10/2023,Sale,LDP,37762644,0,5,False,True,163,SG,69,8976,527,227,1902344,38
90 m²,"8,4 tỷ",5 m,6 m,2 tầng,N/A,N/A,N/A,N/A,N/A,N/A,24/10/2023,03/11/2023,Sale,LDP,38319776,0,5,False,True,41,SG,69,8979,1759,227,2538540,38
60 m²,"3,8 tỷ",N/A,N/A,2 tầng,N/A,N/A,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,13/11/2023,23/11/2023,Sale,LDP,38167158,0,5,False,True,41,SG,69,8991,318,227,2247536,38
160 m²,"32,9 tỷ",N/A,N/A,N/A,N/A,N/A,5 phòng,N/A,Sổ đỏ/ Sổ hồng,Cơ bản,25/11/2023,05/12/2023,Sale,LDP,38170428,0,5,False,True,41,SG,69,8975,4830,227,1550409,38
65 m²,"7,8 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11/11/2023,21/11/2023,Sale,LDP,38339382,0,5,False,True,41,SG,69,8986,621,227,2538540,38
99 m²,"5,6 tỷ",N/A,N/A,N/A,N/A,N/A,3 phòng,2 phòng,N/A,Cơ bản,18/10/2023,28/10/2023,Sale,LDP,38126760,2059,5,False,True,324,SG,69,8976,4831,227,291150,38
100 m²,"12,5 tỷ",5 m,N/A,3 tầng,N/A,N/A,3 phòng,3 phòng,Sổ nở hậu,N/A,03/11/2023,13/11/2023,Sale,LDP,38302159,0,5,False,True,41,SG,69,8979,938,227,1597008,38
139 m²,"6,2 tỷ",N/A,N/A,N/A,N/A,N/A,3 phòng,2 phòng,N/A,N/A,02/12/2023,17/12/2023,Sale,LDP,34515490,2047,5,False,False,324,SG,69,8976,4831,227,1789657,38
130 m²,"11,8 tỷ",5 m,6 m,2 tầng,N/A,N/A,N/A,N/A,N/A,N/A,27/10/2023,06/11/2023,Sale,LDP,38337860,0,5,False,True,41,SG,69,8984,621,227,1597008,38
75 m²,"3,65 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,05/12/2023,20/12/2023,Sale,LDP,33724418,2047,5,False,False,324,SG,69,8976,4831,227,1789657,38
76 m²,"7,6 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14/11/2023,24/11/2023,Sale,LDP,38290643,0,5,False,True,41,SG,69,8985,5603,227,1597008,38
78 m²,"10,87 tỷ",6 m,6 m,4 tầng,N/A,N/A,4 phòng,5 phòng,N/A,N/A,22/10/2023,01/11/2023,Sale,LDP,38303416,0,5,False,True,41,SG,69,8989,0,227,2294753,38
25 m²,"3,1 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,2 phòng,Sổ đỏ/ Sổ hồng,N/A,12/10/2023,22/10/2023,Sale,LDP,38309043,0,5,False,True,41,SG,69,8985,778,227,2091375,38
25 m²,"3,1 tỷ",N/A,"3,5 m",2 tầng,N/A,N/A,N/A,2 phòng,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,27/10/2023,Sale,LDP,38340935,0,5,False,True,41,SG,69,8985,778,227,2091375,38
