area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
60 m²,"7,1 tỷ","4,2 m",7 m,4 tầng,N/A,N/A,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,18/10/2023,25/10/2023,Sale,LDP,38350510,0,1,False,False,41,SG,71,134,13608,227
51 m²,"2,86 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hợp đồng mua bán,Cơ bản,18/10/2023,25/10/2023,Sale,LDP,38251424,5421,1,False,False,324,SG,71,134,11192,227
75 m²,Thỏa thuận,N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,14/10/2023,24/10/2023,Sale,LDP,28795087,3567,1,False,False,324,SG,71,11915,1433,227
60 m²,"2,2 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,"Nội thất hoàn thiện: Full bếp, thiết bị vệ sinh, full sàn gỗ, máy lạnh...",20/10/2023,30/10/2023,Sale,LDP,29864499,3567,5,False,False,324,SG,71,11915,1433,227
"59,2 m²","7,06 tỷ",5 m,50 m,4 tầng,N/A,N/A,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,13/10/2023,23/10/2023,Sale,LDP,38311502,0,1,False,False,41,SG,71,133,7634,227
75 m²,"2,8 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,HDMB,N/A,17/10/2023,24/10/2023,Sale,LDP,38343047,3567,1,False,False,324,SG,71,11915,1433,227
53 m²,"1,98 tỷ",N/A,N/A,N/A,N/A,N/A,1 phòng,1 phòng,N/A,N/A,14/10/2023,21/10/2023,Sale,LDP,26315242,3049,1,False,True,324,SG,71,11845,3789,227
68 m²,"2,5 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,16/10/2023,23/10/2023,Sale,LDP,29728490,3049,1,False,False,324,SG,71,11845,11219,227
138 m²,"3,88 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16/10/2023,26/10/2023,Sale,LDP,38328824,0,1,False,False,283,SG,71,11895,1836,227
70 m²,"6,5 tỷ",N/A,8 m,4 tầng,N/A,N/A,4 phòng,4 phòng,Sổ hồng riêng,Cơ bản,05/10/2023,20/10/2023,Sale,LDP,33636916,0,1,False,True,41,SG,71,134,7634,227
336 m²,36 tỷ,N/A,N/A,2 tầng,N/A,N/A,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,N/A,04/10/2023,19/10/2023,Sale,LDP,38238136,1010,0,False,True,325,SG,71,134,11219,227
98 m²,"8,9 tỷ",N/A,N/A,N/A,N/A,N/A,3 phòng,2 phòng,N/A,N/A,17/10/2023,24/10/2023,Sale,LDP,38339067,5142,1,False,False,324,SG,71,11953,5011,227
60 m²,"3,7 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thương lượng,10/10/2023,25/10/2023,Sale,LDP,37977237,2129,1,False,False,575,SG,71,133,1433,227
105 m²,"3,85 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09/10/2023,24/10/2023,Sale,LDP,38277465,0,1,False,False,163,SG,71,11916,0,227
218 m²,"19,2 tỷ",11 m,4 m,N/A,Đông - Nam,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,13/10/2023,20/10/2023,Sale,LDP,35218616,0,1,False,True,283,SG,71,134,7634,227
"129,5 m²","6,5 tỷ",N/A,N/A,N/A,Đông - Bắc,Tây - Nam,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,13/10/2023,28/10/2023,Sale,LDP,38317073,0,0,False,False,41,SG,71,11895,11232,227
"76,8 m²","2,35 tỷ",N/A,N/A,N/A,Tây - Bắc,Đông - Nam,2 phòng,2 phòng,Sổ hồng.,N/A,22/10/2023,29/10/2023,Sale,LDP,22795315,318,3,False,False,324,SG,71,11845,4150,227
